code,시군구,선별진료소 수,총인구,남자,여자
37420,울진군,1,47651,24745,22906
32020,원주시,3,349319,174245,175074
25040,유성구,2,366544,189078,177466
11120,은평구,5,461530,222076,239454
33370,음성군,2,104823,58027,46796
38310,의령군,2,26040,12736,13304
37320,의성군,1,49477,24114,25363
31170,의왕시,2,155826,77677,78149
31030,의정부시,5,440357,216737,223620
31210,이천시,2,222995,115769,107226
35030,익산시,3,290119,145682,144437
32390,인제군,1,30133,16333,13800
35350,임실군,1,26144,13099,13045
36450,장성군,2,42193,21369,20824
35340,장수군,1,21267,10544,10723
36380,장흥군,2,35494,17250,18244
35012,덕진구,3,320963,160479,160484
35011,완산구,3,341123,166781,174342
32350,정선군,2,35255,18390,16865
35040,정읍시,2,107348,53527,53821
39010,제주시,8,487688,246161,241527
33030,제천시,3,136093,68500,67593
11010,종로구,3,154969,74880,80089
11020,중구,8,219428,111433,107995
21010,중구,1,219428,111433,107995
22010,중구,2,219428,111433,107995
23010,중구,4,219428,111433,107995
25020,중구,4,219428,111433,107995
26010,중구,2,219428,111433,107995
11070,중랑구,2,386331,190531,195800
33390,증평군,1,37493,19247,18246
36470,진도군,2,29295,15134,14161
35320,진안군,2,23013,11446,11567
38030,진주시,8,354166,176860,177306
33350,진천군,2,87525,47307,40218
38330,창녕군,2,62370,31701,30669
38113,마산합포구,3,177579,88712,88867
38114,마산회원구,1,192446,96351,96095
38112,성산구,2,219951,114488,105463
38111,의창구,4,256001,130662,125339
38115,진해구,3,190885,98087,92798
34011,동남구,5,279153,142402,136751
34012,서북구,2,400590,205951,194639
32360,철원군,2,43520,22869,20651
37360,청도군,1,41054,19891,21163
37330,청송군,2,23958,11929,12029
34350,청양군,1,30783,15600,15183
33011,상당구,3,173783,86676,87107
33310,서원구,2,210273,104590,105683
33310,청원구,2,200581,102990,97591
33012,흥덕구,3,266301,135116,131185
32010,춘천시,6,284753,140095,144658
33020,충주시,3,216446,110758,105688
37390,칠곡군,1,118517,62074,56443
32050,태백시,2,42474,21366,21108
34380,태안군,1,60896,31367,29529
38050,통영시,2,129931,67013,62918
31200,파주시,3,454328,233834,220494
32340,평창군,1,39657,20341,19316
31070,평택시,6,521172,271966,249206
31270,포천시,3,159871,87476,72395
37011,남구,3,233172,121579,111593
37012,북구,2,268892,133295,135597
31180,하남시,1,260544,130979,129565
38360,하동군,2,42583,21017,21566
38320,함안군,2,66611,34951,31660
38380,함양군,2,37384,18088,19296
36430,함평군,2,30556,15229,15327
38400,합천군,1,42449,20358,22091
36400,해남군,3,65175,32434,32741
21090,해운대구,3,392846,190184,202662
34360,홍성군,2,102791,51530,51261
32310,홍천군,2,66634,34090,32544
31240,화성시,5,838635,444058,394577
36370,화순군,3,59671,28900,30771
32370,화천군,1,23425,12636,10789
32320,횡성군,2,44431,22615,21816
