,제목,청원시작일,청원종료일,참여인원,URL,카테고리,청원내용,청원인
0,인종차별 당하는 자국민을 보호해주세요,2020-04-02,2020-05-02,659,https://www1.president.go.kr/petitions/587667,외교/통일/국방,"더 많은 사람들이 현지 상황과 베트남인들에 행동과 인종차별 행위를 막기 위해 이 글을 씁니다.베트남이 의료기술도 부족하고 대가족 위주로 생활하기 때문에 코로나에 대해 더욱 예민한거 이해 합니다.하지만, 아무런  증상도 없는 사람을 중환자실에 2일간 강제 경리 및 여권을 빼앗고 보복시 공안을 부를것을 협박하였습니다. 물론 병원비 자비 부담(법령에 근거하여 외국인 범죄혐의자의 여권을 압류할 수 있지만, 사인이 채무담보용 기타 목적으로 타인의 여권을 압류하는 것은 불법)그리고, 현지 식당 마트는 출입 금지 택시 승차거부는 기본입니다.인종차별당한 실화이야기입니다 동영상도있음시장에서 장을 보던 중 한 여성이 저의 손을 때리며 더러우니 만지지 말라며 나가라고 합니다.그 이후 상인들이 나와 사우스코로나 , 코로나 등 한국을 비하합니다.영상에서도 자세하게 들으면 작은 소리로 코로나라고 합니다.제가 강하게 반박하자 공안을 부른다며 도망가는 모습 가까이 다가가니 으엑 이라며 더러운것을 본 마냥 피합니다.그리고 한 남성은 제가 택시를 기다리는데 저에게 침을 뱉고 동영상 촬영을 하니 도망갑니다.저의 국적은 "" South Corona ""가 아니라 "" Republic of Korea "" 🇰🇷 대한민국 🇰🇷 입니다.한두번은 참고 이해 하였습니다 하지만 점점 더 심해지고 있습니다어떤사람은 말합니다 제가 이 글을 쓰면 교민들만 힘들다고저도 교민입니다 이런일 참고 대서관 및 정부에 도움요청해도 베트남 사람 편을 드니까 우숩게 보고 더 조롱하는 것 입니다정부 그리고 대사관 묵인하고 참아라 하지말고 강력하게 대응 부탁드립니다 더 이상 한국인이 피해보고 상처 없게 해주세요",naver
1,[코로나(COVID-19) 인간독감 무료예방 백신! 태풍海水증기 허파꽈리소독 요법]  [문대통령] 비상한 경제시국... 모든 수단 동원해야~  대한민국 과학인 제11298661호,2020-03-16,2020-04-15,125,https://www1.president.go.kr/petitions/586664,보건복지,"[코로나(COVID-19) 인간독감 무료예방 백신! 태풍海水증기 허파꽈리소독 요법] (28. FEB. 2020)[문대통령] 비상한 경제시국... 모든 수단 동원해야~~ 대한민국 과학인 제11298661호 Thomas KWON 입니다.(서론)Worldwide 197나라 정상들에게 경고합니다!조류독감! 돼지독감! 코로나(COVID-19)인간독감! 미래 식량난!세계인 모두가 기후변화에 소극적으로 대응한 인과응보입니다!적극적 기후변화대응 방안은 결론으로 미루고~~ 우선, 전 세계 모든 사람들이 무료 코로나 예방 백신 [태풍海水증기 허파꽈리소독 요법]을 이용할 수 있습니다!(본론)[코로나 예방 백신] 태풍(海水) 증기 호흡기소독 요법1. 매일 호흡기 (폐,기관지,허파꽈리) 까지 [태풍(海水)증기 폐 마사지] 요법으로 소독을 실시합니다!🎭 코로나가 아무리 세다고 해도 소금물(海水)한테는 하찮은 바이러스에 불과 합니다!💢 지구상에 모든 바이러스는 0.9%의 소금물 속에서는 존재할 수 없다는 것은 과학적으로 입증된 사실입니다!      닿는 순간 터져 죽기 때문이지요, 이것이 해변 사람들이 강한 호흡기를 가지고 있는 이유입니다.👫 그러므로 코로나 바이러스를 물리칠 수 있는 최선의 요법은 호흡기관 폐, 기관지, 허파꽈리 까지 염도를 0.9% 이상만 유지 시켜 주면 이보다 더한 바이러스라 해도 100% 박멸입니다2. [방법]1) 전기 커피 폿트에 생수를 반 정도 잡고 소금 한 스푼을 넣고 뚜껑을 열어 둔 채 증기가 발생하도록 계속해서 끓인다! (화재주의~ 물이 모두 증발되면 전기포트가 과열하므로 소금물(海水)의 높이를 주시한다)2) 뚜껑을 열어 둔 채 소금물(海水)을 끓이며 소금증기를 10분간 입으로 빨아드려 깊은 호흡 폐 속 깊숙이 들이마신다!(화상주의~ 소금물(海水) 100℃ 이상 증기이므로 안면 화상주의 50Cm 이상 간격유지, 10분 폐 마사지)3. 하루 수십 차례 반복해서 허파꽈리 소독#. 확진자라 할지라도 허파꽈리까지 [태풍 海水 증기 소독]을 하여 건강하시기 바랍니다! (한 달 이상)한 두어 달만 버티면 코로나는 철저한 소독과 기후변화에 의해 사라집니다. 조류독감 돼지독감이 철저한 소독과 기후변화에 의해 박멸 됐습니다!다음에 또 찾아오겠지만?~ 기후변화에 대응하지 않는 한.....(결론)[UN 20~30 Program]에 의하면 2020년~2030년 까지 10년간 기후변화대응 CO2(에너지 사용량)을 줄이지 않으면 아이들의 미래가 없다고 합니다! (Greta Thunberg; 17세 기후변화대응의 환경운동가)World 정상들은 인류의 미래 보건(예; 코로나 독감), 미래 식량 부족의 원인~ 기후변화에 대응해야만 합니다!(기후변화대응 방안) 국제공인 검증 [태풍융합과학기술] 대통령직속 기후환경회의 국민제안 검토 계류 중![문대통령] 비상한 경제시국... 모든수단 동원해야~~ 문재인 대통령님! 명령만 하시면 40년 준비한 우리 의병들의  과학으로 경제도 살리고 국민 보건도 지킵니다. 나라는 망해도 의병은 죽지 않는다! 말은 멋있는데 안타깝습니다!국정에 참고 하세요! 귀하께서 국정에 참여할 수 있는 기회가 얼마 남지 않았습니다!1. 미세먼지해결 2. 에너지 사용량(Co2 emission) 줄이기를 구체적으로 국민제안 드렸습니다.3. 화석열기관(수송, 발전, 산업) 전 분야 에너지감축=Co2저감 [태풍융합과학기술] 국제공인기관에 2011년도, 2015년도 검증되어 있습니다!현대 산업 전 분야에 [태풍융합과학기술]을 활용하여 전 세계인에게 UN의 탄소배출권으로 무상 지원합니다! [결과 및 효과]대한민국 2,300만대의 수송, ?백기의 화력발전, ?십만 산업 전 분야에 UN의 탄소배출권으로 무상튜닝을 한다면 해마다 400조원의 에너지 감축을 전 국민들에게 복지로 나누어 주며, 대한민국은 해마다 800조원에 상당하는 쾌적한 환경과 국민 건강 증진의 혜택을 누립니다. 일자리 또한 100만 일자리를 확보합니다. [정부주관; GLOBAL 저탄소 혁신공사]를 창설하여 지구촌 현대 산업 전 분야에 적용 가능한 실용 과학입니다! [UN 20~30 Program]에 의한 COP24의 기후변화에 대응합니다. (자신 있습니까? 자신 있습니다!)한마디로 인류를 위한 과학이라고 자부하는 이유는?현대 과학이나 문명이 불을 기반으로 발전한 만큼 미세먼지와 CO2의 생성은 불가피 하였습니다만~ [태풍 융합 과학기술]은 태풍을 기반으로 하는 흐름의 증폭 실용과학으로 현대 산업 전 분야에 잃어버린 열효율 30%를 찾고 CO2를 30% 줄여 기후변화에 대응하며, 미세먼지 해결은 물론 매연 역시 90%이상 완전 연소시켜 국민 건강 증진에 최고입니다.부디 40년 노력한 준비된 과학자의 충언을 가볍게 여기지 마시고 위기가 기회라 했습니다.國士遇之國士報之 [국사우지국사보지]전 국민의 청원으로 우리 국민 과학팀을 국사의 예로 대우해주신다면 지구환경수비대 국민 과학팀도 나라에 걸맞는 행동으로 기후변화에 대응하는 국제공인검증 [태풍융합 과학기술]로 UN의 탄소배출권을 선점하여 국사의 예를 갖추어 금번 코로나를 지혜롭게 정면 돌파하고, 위기의 대한미국 경제와 환경과 국민 건강을 지켜, 선진국 최고의 정상 SUMMIT 위대한 대한민국으로 보답하겠습니다. 하명만 하신다면 답을 갖고 있는 지구환경수비대 과학팀은 명령만 기다립니다. 충성!대한민국 공업진흥청시절부터 공장자동화 기술지도위원 제11298661호 과학자 Thomas KWON 올림~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~[COVID-19 Human Flu Free! Typhoon (saltwater) steam lung sterilization therapy] (27.FEB. 2020)[President Moon] Unusual economic situation ... all method must  run away mobilize~~This is Thomas KWON, Korean scientist No. 11298661.(Introduction)Warning to the Leaders of the Worldwide 197 Countries!Bird flu! Swine Flu! Corona (COVID-19) Human Flu! Future food shortages!All of the world is a causal contribution that responds passively to climate change!Defer measures to respond to climate change.First of all, free corona prevention [Typhoon (saltwater) steam Lung Sterilization] is available to everyone around the world!(Main subject) [Corona prevention] Typhoon (saltwater) steam respiratory disinfection therapy1. Disinfect the respiratory organs (lungs, bronchi, alveoli) every day with [Typhoon (saltwater) Steam Lung Massage].🎭 No matter how strong the corona is, it's a trivial virus for brine!💢  It is scientifically proven that not all viruses on earth can exist in 0.9% brine! Because it bursts when saltwater touch it, This is why beach people have a strong respiratory tract.👫 Therefore, the best remedy to fight the corona virus is 100% eradication of even more viruses if you maintain more than 0.9% salinity in your lungs, bronchi, alveoli.2. [Method of the Typhoon (saltwater) steam lung sterilization therapy]1) Hold half a bottle of water in an electric coffee pot, add a tablespoon of salt, keep the lid open and continue to boil to produce steam!(Fire caution ~ Watch the height of the saltwater as the electric pot is overheated when all the water evaporates.)2) With the lid open, boil the seawater (saltwater) and suck the salt vapor into your mouth for 10 minutes to breathe deep into your lungs!(Be Carefull ~ Because of Saltwater Steam above 100° C,  keeping a distance of 50 cm or more for facial burns, 10-minute lung massage)3. Please Disinfecting the lungs dozens of times a day#. Even if you are a corona confirmed person, be sure to carry out [Typhoon saltwater disinfection] to your lungs! (More than a month)After a month or two, corona disappears due to thorough disinfection and climate change.The similar example  Bird Flu, Swine Flu has been wiped out by thorough disinfection and climate change!Even if it will come again next time? ~ Unless it responds to climate change .....(Conclusion)According to the [UN 20-30 Program], there will be no children's future unless we reduce CO2 (energy consumption) in response to climate change for 10 years from 2020 to 2030! (Representation; Greta Thunberg, 17-year-old environmentalist in response to climate change)World Leaders must respond to climate change, the cause of human future health (eg corona flu), future food shortages!(Climate Response) International Accreditation Verification [Typhoon Fusion Science&Technology] [President Moon] Unusual economic situation ... all method must  run away mobilize~~  To President Moon Jae-in! If Ordering Just now, we will save the economy and protect public health with our science of patriotic nationals. Even if the country is destroyed, the patriotic nationals do not die! The speech is cool but it's sad!Please refer to the national affairs! You have only a few chances to participate in national affairs!1. Resolved fine dust 2. Suggested national proposal to reduce energy consumption (Co2 emission).3. Energy reduction = Co2 reduction in all areas of fossil heat engines (transportation, power generation, industry) [Typhoon Fusion Science & Technology] Certified by internationally recognized institutions in 2011 and 2015! In all areas of the modern industry, we provide free carbon credits to all of the worlds by utilizing [Typhoon Fusion Science & Technology].Republic of Korea scientist No. 11298661Posted by Thomas KWON",naver
