"거래구분별(1)","투자자별(1)",투자자별(2),2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04
"거래량","기타외국인",매도 (천주),69029,57207,64411,75856,97492,125356
"거래량","기타외국인",매수 (천주),68614,54325,64978,77688,101350,120890
"거래량","기타외국인",순매수 (천주),-415,-2883,567,1833,3858,-4466
"거래대금","총거래대금",매도 (백만원),217306890,183316222,237671716,283545650,406897245,415665542
"거래대금","총거래대금",매수 (백만원),217306890,183316222,237671716,283545650,406897245,415665542
"거래대금","총거래대금",순매수 (백만원),0,0,0,0,0,0
"거래대금","금융투자",매도 (백만원),8416425,9181084,16331377,16912996,21198112,13328932
"거래대금","금융투자",매수 (백만원),11105539,13105362,11584937,14312052,18827403,11496047
"거래대금","금융투자",순매수 (백만원),2689114,3924277,-4746439,-2600945,-2370709,-1832885
"거래대금","보험",매도 (백만원),1406185,1738529,1685928,1560333,1707594,1655902
"거래대금","보험",매수 (백만원),1371648,1360579,1580329,1662327,1958394,1546490
"거래대금","보험",순매수 (백만원),-34537,-377949,-105599,101994,250800,-109412
"거래대금","투자신탁",매도 (백만원),3602667,3573023,4131765,3536048,5111217,3493937
"거래대금","투자신탁",매수 (백만원),2889920,3163300,3394717,3435953,4781525,3548911
"거래대금","투자신탁",순매수 (백만원),-712747,-409722,-737048,-100095,-329692,54974
"거래대금","사모펀드",매도 (백만원),2790594,2472407,3395598,3075639,3360820,2386199
"거래대금","사모펀드",매수 (백만원),2326891,2327467,2886195,2647230,2924121,2026981
"거래대금","사모펀드",순매수 (백만원),-463703,-144940,-509403,-428409,-436698,-359218
"거래대금","은행",매도 (백만원),278483,198333,155283,131345,328601,225889
"거래대금","은행",매수 (백만원),124731,178055,187452,164159,297347,227156
"거래대금","은행",순매수 (백만원),-153751,-20278,32169,32814,-31254,1267
"거래대금","기타금융",매도 (백만원),231227,237007,146493,181689,292421,182764
"거래대금","기타금융",매수 (백만원),111657,149997,121888,170973,338387,189705
"거래대금","기타금융",순매수 (백만원),-119570,-87010,-24605,-10716,45966,6941
"거래대금","연기금 등",매도 (백만원),10159772,8758038,13789418,16216659,21462108,15546017
"거래대금","연기금 등",매수 (백만원),10599151,9390344,13678346,16305298,24495229,17207539
"거래대금","연기금 등",순매수 (백만원),439379,632306,-111073,88639,3033122,1661522
"거래대금","기관합계",매도 (백만원),26885352,26158421,39635863,41614710,53460873,36819639
"거래대금","기관합계",매수 (백만원),28529538,29675104,33433865,38697993,53622407,36242829
"거래대금","기관합계",순매수 (백만원),1644185,3516683,-6201998,-2916717,161535,-576810
"거래대금","기타법인",매도 (백만원),1344653,1521124,1558066,3476453,2320353,2739158
"거래대금","기타법인",매수 (백만원),1818705,1636577,1712396,3994137,3490405,2652156
"거래대금","기타법인",순매수 (백만원),474051,115453,154331,517684,1170052,-87002
"거래대금","개인",매도 (백만원),146857693,116892720,152048548,182831290,268913384,322842414
"거래대금","개인",매수 (백만원),148293824,112076067,158321087,188870031,280403468,328373637
"거래대금","개인",순매수 (백만원),1436131,-4816654,6272539,6038741,11490084,5531223
"거래대금","외국인",매도 (백만원),41900550,38477579,44088475,55207860,81576765,52522091
"거래대금","외국인",매수 (백만원),38355505,39683633,43845115,51567025,68723914,47660255
"거래대금","외국인",순매수 (백만원),-3545045,1206054,-243360,-3640835,-12852851,-4861836
"거래대금","기타외국인",매도 (백만원),318641,266376,340764,415337,625869,742240
"거래대금","기타외국인",매수 (백만원),309319,244840,359253,416464,657050,736665
"거래대금","기타외국인",순매수 (백만원),-9322,-21536,18489,1127,31181,-5575
