"거래구분별(1)","투자자별(1)",투자자별(2),2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04
"거래량","총거래량",매도 (천주),32394370,26969890,33249799,39635839,47668576,56251736
"거래량","총거래량",매수 (천주),32394370,26969890,33249799,39635839,47668576,56251736
"거래량","총거래량",순매수 (천주),0,0,0,0,0,0
"거래량","금융투자",매도 (천주),351936,364542,479164,515438,699048,416149
"거래량","금융투자",매수 (천주),381903,429094,361875,446865,682741,368944
"거래량","금융투자",순매수 (천주),29967,64552,-117289,-68574,-16307,-47205
"거래량","보험",매도 (천주),42958,46941,46019,47040,72822,49831
"거래량","보험",매수 (천주),38633,45492,46704,43878,65151,47465
"거래량","보험",순매수 (천주),-4325,-1449,685,-3162,-7670,-2366
"거래량","투자신탁",매도 (천주),142080,156550,157606,137549,240523,148233
"거래량","투자신탁",매수 (천주),104996,127242,115113,114356,176437,120707
"거래량","투자신탁",순매수 (천주),-37083,-29308,-42493,-23193,-64086,-27526
"거래량","사모펀드",매도 (천주),147002,131836,163454,166827,181264,112049
"거래량","사모펀드",매수 (천주),105512,93990,114479,109181,121833,73770
"거래량","사모펀드",순매수 (천주),-41490,-37846,-48975,-57646,-59431,-38279
"거래량","은행",매도 (천주),21777,8748,7559,6596,14104,9122
"거래량","은행",매수 (천주),4579,5487,5588,5652,10985,7850
"거래량","은행",순매수 (천주),-17198,-3261,-1972,-944,-3119,-1272
"거래량","기타금융",매도 (천주),18873,23229,17454,16711,28477,11887
"거래량","기타금융",매수 (천주),4135,6586,4689,8313,23695,13525
"거래량","기타금융",순매수 (천주),-14738,-16642,-12765,-8398,-4782,1637
"거래량","연기금 등",매도 (천주),235431,200530,285328,339317,541020,366981
"거래량","연기금 등",매수 (천주),235032,215995,277514,317325,546385,398061
"거래량","연기금 등",순매수 (천주),-399,15466,-7815,-21991,5366,31080
"거래량","기관합계",매도 (천주),960056,932375,1156584,1229477,1777258,1114252
"거래량","기관합계",매수 (천주),874790,923886,925961,1045570,1627229,1030321
"거래량","기관합계",순매수 (천주),-85266,-8489,-230623,-183908,-150029,-83931
"거래량","기타법인",매도 (천주),239941,210560,253208,270778,382677,370079
"거래량","기타법인",매수 (천주),132952,145326,159735,196385,359275,243241
"거래량","기타법인",순매수 (천주),-106989,-65234,-93473,-74393,-23402,-126837
"거래량","개인",매도 (천주),28312759,23233806,28637755,34289969,38976840,49945851
"거래량","개인",매수 (천주),28676609,23222679,29108223,34713169,39387605,50331509
"거래량","개인",순매수 (천주),363850,-11127,470468,423199,410765,385658
"거래량","외국인",매도 (천주),2812586,2535942,3137841,3769760,6434309,4696198
"거래량","외국인",매수 (천주),2641406,2623674,2990902,3603028,6193117,4525774
"거래량","외국인",순매수 (천주),-171180,87732,-146939,-166731,-241192,-170423
