"행정구역별(읍면동)",2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"행정구역별(읍면동)",총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
"부산진구",357723,172741,184982,354781,171536,183245,2942,1205,1737,152704,151852,76,776,135427,25295,86325,1698,20639,1470,10049
"동래구",258386,125960,132426,257155,125470,131685,1231,490,741,101031,100613,44,374,89354,13336,58851,2779,13084,1304,4584
"남구",282645,139027,143618,275914,135555,140359,6731,3472,3259,113116,111261,98,1757,106627,19510,61309,3159,21653,996,3126
"북구",291675,144311,147364,288803,142991,145812,2872,1320,1552,113514,112896,36,582,104275,7463,84345,2319,9450,698,2084
"해운대구",396311,191998,204313,391595,189541,202054,4716,2457,2259,156338,154967,43,1328,141002,12423,111234,2524,13900,921,12185
"사하구",326655,163050,163605,321246,159669,161577,5409,3381,2028,130646,129242,76,1328,116840,17971,80944,5160,11723,1042,4244
"금정구",247971,121135,126836,242782,118853,123929,5189,2282,2907,102728,101118,100,1510,83959,16130,45812,3098,17600,1319,3550
"강서구",121351,64289,57062,114842,58759,56083,6509,5530,979,45412,44028,54,1330,39541,8803,29674,69,625,370,2752
"연제구",199887,96346,103541,198927,95966,102961,960,380,580,80416,80104,36,276,68929,10908,45255,1531,10331,904,4370
"수영구",170296,80837,89459,168558,79965,88593,1738,872,866,73151,72556,35,560,66107,10395,35116,2273,17551,772,3820
"사상구",226961,114236,112725,220675,110845,109830,6286,3391,2895,91737,90355,59,1323,75574,10100,56012,772,7804,886,3180
"기장군",160335,79362,80973,157753,77543,80210,2582,1819,763,61728,61108,47,573,58705,8291,44448,1523,3806,637,1688
"대구광역시",2444412,1212777,1231635,2409132,1192938,1216194,35280,19839,15441,968265,957516,597,10152,792998,151964,567543,9563,53216,10712,19797
"읍부",229433,117229,112204,223123,113224,109899,6310,4005,2305,85461,83671,64,1726,82399,8745,70600,579,1708,767,1941
"면부",21320,11240,10080,19886,10081,9805,1434,1159,275,8754,8435,25,294,8816,4410,3843,74,330,159,558
"동부",2193659,1084308,1109351,2166123,1069633,1096490,27536,14675,12861,874050,865410,508,8132,701783,138809,493100,8910,51178,9786,17298
"중구",76935,37209,39726,76089,36779,39310,846,430,416,34431,34109,40,282,26597,7477,16254,754,1204,908,2709
"동구",342396,168812,173584,340032,167969,172063,2364,843,1521,139492,138759,80,653,121847,24672,79974,2314,13065,1822,3373
"서구",183857,92304,91553,180774,90628,90146,3083,1676,1407,77152,76111,56,985,54338,23178,18247,739,10994,1180,1151
"남구",150132,72097,78035,148553,71475,77078,1579,622,957,68808,68263,62,483,42387,20284,14998,574,5644,887,1040
"북구",444759,222248,222511,438525,219022,219503,6234,3226,3008,173151,171041,91,2019,141295,20461,110867,1855,6245,1867,3511
"수성구",418834,204032,214802,416581,203033,213548,2253,999,1254,157323,156596,49,678,134191,21535,102927,1315,7268,1146,2478
"달서구",576746,287606,289140,565569,280727,284842,11177,6879,4298,223693,220531,130,3032,181128,21202,149833,1359,6758,1976,3036
"달성군",250753,128469,122284,243009,123305,119704,7744,5164,2580,94215,92106,89,2020,91215,13155,74443,653,2038,926,2499
"인천광역시",2936117,1476097,1460020,2847628,1425355,1422273,88489,50742,37747,1122041,1094749,818,26474,997959,100433,624332,25984,238998,8212,67823
"읍부",21526,10629,10897,21214,10485,10729,312,144,168,8620,8531,8,81,8611,3328,1155,805,3172,151,247
"면부",62113,32732,29381,61046,31985,29061,1067,747,320,27680,27346,69,265,27333,22975,1836,540,1358,624,1349
"동부",2852478,1432736,1419742,2765368,1382885,1382483,87110,49851,37259,1085741,1058872,741,26128,962015,74130,621341,24639,234468,7437,66227
"중구",119514,61843,57671,114960,59421,55539,4554,2422,2132,50199,48828,74,1297,43765,8080,25530,1796,7694,665,4171
"동구",65185,32761,32424,63981,32090,31891,1204,671,533,26108,25737,18,353,25011,7065,14393,258,3012,283,535
"연수구",349963,174622,175341,334732,166555,168177,15231,8067,7164,125118,120190,84,4844,109637,3547,98631,891,6273,295,5856
"남동구",537389,269790,267599,520814,258792,262022,16575,10998,5577,205814,201623,129,4062,181834,8443,124017,2472,45644,1258,15233
"부평구",525014,260408,264606,506644,251075,255569,18370,9333,9037,202267,195852,107,6308,171740,12523,107643,4491,45676,1407,17210
"계양구",307598,152614,154984,303392,150709,152683,4206,1905,2301,115300,114050,72,1178,107446,3940,67942,1828,33060,676,3849
"서구",532713,271338,261375,516402,260292,256110,16311,11046,5265,194339,189779,126,4434,178078,8715,117547,9147,41703,966,6858
"미추홀구",415102,209360,205742,404443,203951,200492,10659,5409,5250,166596,162813,131,3652,144504,21817,65638,3756,51406,1887,12515
"강화군",64432,32378,32054,63322,31674,31648,1110,704,406,27045,26728,65,252,27991,20335,2344,1017,3731,564,1252
"옹진군",19207,10983,8224,18938,10796,8142,269,187,82,9255,9149,12,94,7953,5968,647,328,799,211,344
"광주광역시",1490092,741728,748364,1460259,725127,735132,29833,16601,13232,586263,578559,404,7300,514767,85194,406329,8810,8561,5873,13538
"동구",99870,49942,49928,97653,48758,48895,2217,1184,1033,43709,43155,54,500,34905,12150,18515,1049,2252,939,1460
"서구",302189,149109,153080,299936,148047,151889,2253,1062,1191,122667,121889,56,722,104649,14140,86609,1328,1540,1032,4621
