,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,교육 서비스업(85),서울 종로,서울,종로구,157967,27,850,13504,7647,3430,0.017092177480106604,0.5380870688181709,8.5486209144948,6.294431279620853,56.62766587677726,25.39988151658768,44.85419118608605
1,교육 서비스업(85),서울 중구,서울,중구,129797,18,471,8321,7303,469,0.013867808963227195,0.36287433453777823,6.410779910167415,5.660377358490567,87.76589352241318,5.636341785843048,6.422018348623854
2,교육 서비스업(85),서울 용산,서울,용산구,226938,53,550,7452,5498,1330,0.023354396354951575,0.24235694330610125,3.283716257303757,7.380568974771872,73.77885131508319,17.847557702630166,24.190614769006913
3,교육 서비스업(85),서울 성동,서울,성동구,306796,57,961,11371,7714,2274,0.01857912097941303,0.31323746072308634,3.706371660647466,8.45132354234456,67.8392401723683,19.99824113974145,29.478869587762507
4,교육 서비스업(85),서울 광진,서울,광진구,362304,22,1183,14139,8730,3774,0.006072248719307543,0.32652137431549194,3.9025238473767883,8.36692835419761,61.74411203055379,26.692128156163804,43.23024054982818
5,교육 서비스업(85),서울 동대문,서울,동대문구,358141,43,1000,16243,11869,2852,0.012006444389221006,0.279219636958628,4.535364563118995,6.156498183833035,73.0714769439143,17.55833282029182,24.028983065127644
6,교육 서비스업(85),서울 중랑,서울,중랑구,391668,44,936,7773,5206,848,0.011234004309772562,0.2389779098624345,1.9845889886332302,12.041682747973756,66.97542776276856,10.909558728933488,16.28889742604687
7,교육 서비스업(85),서울 성북,서울,성북구,438734,40,1382,21481,13960,4176,0.009117141593767522,0.3149972420646679,4.896132964393003,6.433592477072763,64.98766351659606,19.44043573390438,29.914040114613176
8,교육 서비스업(85),서울 강북,서울,강북구,309138,25,684,5871,4239,776,0.008087003215392479,0.2212604079731382,1.8991518351027696,11.650485436893204,72.2023505365355,13.217509793902233,18.30620429346544
9,교육 서비스업(85),서울 도봉,서울,도봉구,328243,64,962,7537,5451,734,0.019497750142424972,0.29307555682832537,2.296164731616516,12.763699084516386,72.32320551943744,9.738622794215205,13.46541918913961
10,교육 서비스업(85),서울 노원,서울,노원구,534096,54,1950,21138,13832,3481,0.010110541925047182,0.36510290284892605,3.9577154668823584,9.22509225092251,65.43665436654366,16.46797237203141,25.166281087333715
11,교육 서비스업(85),서울 은평,서울,은평구,462552,61,1469,10058,7178,1036,0.01318770646327332,0.3175859146647296,2.17445822307546,14.60528932193279,71.36607675482203,10.300258500695964,14.432989690721651
12,교육 서비스업(85),서울 서대문,서울,서대문구,318874,41,1086,18651,10396,5915,0.012857743183828095,0.3405733926253003,5.8490187346726294,5.822744088788805,55.73963862527478,31.714117205511773,56.89688341669874
13,교육 서비스업(85),서울 마포,서울,마포구,368181,48,1742,15637,9926,2781,0.013037066008294834,0.47313685388436666,4.247095857743881,11.14024429238345,63.477649165440944,17.784741318667262,28.017328228893813
14,교육 서비스업(85),서울 양천,서울,양천구,445591,70,2376,14974,8856,1852,0.01570947348577507,0.5332244143171653,3.360480799657085,15.867503673033257,59.14251369039669,12.368104714839054,20.912375790424566
15,교육 서비스업(85),서울 강서,서울,강서구,578539,99,1844,14257,9127,1280,0.017112070232084612,0.3187339142218588,2.4643109626144475,12.933997334642633,64.01767552781091,8.978045872203129,14.024323435959243
