,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 종로,서울,종로구,157967,27,909,6227,3896,1161,0.017092177480106604,0.5754366418302557,3.9419625618008824,14.597719608158021,62.56624377709973,18.64461217279589,29.799794661190965
1,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 중구,서울,중구,129797,18,558,3723,2418,692,0.013867808963227195,0.429902077860043,2.868325153894158,14.987912973408541,64.94762288477035,18.58716089175396,28.618693134822166
2,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 용산,서울,용산구,226938,53,408,2831,1724,654,0.023354396354951575,0.1797847870343442,1.2474772845446773,14.411868597668667,60.89720946661957,23.101377605086544,37.93503480278422
3,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 성동,서울,성동구,306796,57,581,2157,1064,432,0.01857912097941303,0.18937665419366614,0.7030730517998931,26.935558646267964,49.327770050996754,20.027816411682892,40.6015037593985
4,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 광진,서울,광진구,362304,22,1033,3862,1848,794,0.006072248719307543,0.2851196785020314,1.0659556615438968,26.7477990678405,47.85085447954428,20.55929570170896,42.96536796536797
5,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 동대문,서울,동대문구,358141,43,776,2462,956,578,0.012006444389221006,0.21667443827989535,0.6874387461921422,31.51909017059301,38.8302193338749,23.47684809098294,60.46025104602511
6,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 중랑,서울,중랑구,391668,44,940,2484,721,592,0.011234004309772562,0.23999918298150477,0.6342106069426147,37.84219001610306,29.025764895330113,23.832528180354267,82.10818307905686
7,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 성북,서울,성북구,438734,40,756,2306,810,603,0.009117141593767522,0.17231397612220617,0.5256032128806977,32.78404163052905,35.12575888985256,26.149176062445793,74.44444444444444
8,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강북,서울,강북구,309138,25,741,2037,708,448,0.008087003215392479,0.23969877530423306,0.6589290219901791,36.37702503681885,34.75699558173785,21.993127147766323,63.2768361581921
9,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 도봉,서울,도봉구,328243,64,622,1907,659,483,0.019497750142424972,0.18949375919669267,0.5809720237750691,32.61667540639748,34.556895647614056,25.32773990561091,73.2928679817906
10,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 노원,서울,노원구,534096,54,934,3078,1169,745,0.010110541925047182,0.174874928851742,0.5763008897276894,30.34437946718648,37.97920727745289,24.204028589993502,63.72968349016253
11,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 은평,서울,은평구,462552,61,810,2277,747,597,0.01318770646327332,0.17511544647953095,0.49226897732579256,35.573122529644266,32.80632411067194,26.21870882740448,79.91967871485944
12,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 서대문,서울,서대문구,318874,41,572,1844,542,521,0.012857743183828095,0.17938119758901636,0.5782848397799758,31.019522776572668,29.392624728850326,28.253796095444685,96.12546125461255
13,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 마포,서울,마포구,368181,48,1061,4794,2212,1509,0.013037066008294834,0.28817347989168374,1.3020769675784465,22.13183145598665,46.14100959532749,31.476846057571965,68.21880650994575
14,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 양천,서울,양천구,445591,70,931,3104,872,706,0.01570947348577507,0.20893599736080845,0.6966029385692261,29.993556701030926,28.09278350515464,22.74484536082474,80.96330275229357
15,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강서,서울,강서구,578539,99,1227,3851,1244,986,0.017112070232084612,0.2120859613612911,0.6656422471086652,31.861854063879512,32.30329784471566,25.603739288496495,79.26045016077171
16,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 구로,서울,구로구,433765,89,916,2617,955,536,0.02051802243150093,0.2111742533399421,0.6033220753172801,35.0019105846389,36.49216660298051,20.481467329002676,56.12565445026178
17,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 금천,서울,금천구,249344,38,599,1541,515,348,0.01523998973305955,0.24023036447638604,0.6180216889117044,38.870863075924724,33.419857235561324,22.582738481505515,67.57281553398057
18,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 영등포,서울,영등포구,395286,70,1139,4149,2068,755,0.017708696994075176,0.2881457982321661,1.0496197689773987,27.452398168233312,49.843335743552664,18.197155941190648,36.50870406189555
19,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 동작,서울,동작구,397980,69,791,2761,784,866,0.017337554650987488,0.19875370621639277,0.6937534549474847,28.649040202825066,28.395508873596526,31.365447301702282,110.45918367346938
20,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 관악,서울,관악구,510303,138,1042,3133,1021,849,0.02704275695028248,0.2041924111753213,0.6139489675741667,33.25885732524736,32.588573252473665,27.098627513565273,83.1537708129285
21,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 서초,서울,서초구,409491,61,1321,6478,3580,1032,0.014896542292748801,0.3225956126019864,1.5819639503676517,20.39209632602655,55.263970361222604,15.930842852732324,28.826815642458097
22,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강남,서울,강남구,507810,95,1778,9179,5262,1716,0.018707784407554006,0.35013095449085285,1.8075658218625077,19.37030177579257,57.326506155354615,18.69484693321713,32.611174458380844
23,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 송파,서울,송파구,638167,87,1641,9397,4147,3230,0.013632795177437882,0.25714272282960415,1.472498577958434,17.463020112801956,44.13110567202298,34.372672129403,77.88762961176755
24,"예술, 스포츠 및 여가관련 서비스업(90~91)",서울 강동,서울,강동구,414231,47,939,2905,811,823,0.0113463260837552,0.22668511048183262,0.70129951645338,32.32358003442341,27.917383820998275,28.330464716006887,101.47965474722567
25,"예술, 스포츠 및 여가관련 서비스업(90~91)",부산 중구,부산,중구,42766,0,294,877,282,276,0.0,0.6874620025253706,2.0506944769209183,33.52337514253136,32.155074116305585,31.470923603192702,97.87234042553192
