순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"56,400","54,200","2,200","-3.9","360,007,160","21,055,346,438,502"
2,000660,SK하이닉스,"93,500","87,900","5,600","-5.99","70,992,138","6,924,167,485,340"
3,032640,LG유플러스,"13,250","13,200",50,"-0.38","53,732,649","737,834,191,150"
4,034220,LG디스플레이,"15,400","13,600","1,800","-11.69","49,840,145","772,809,246,700"
5,316140,우리금융지주,"10,150","9,610",540,"-5.32","47,347,306","473,673,442,541"
6,015760,한국전력,"25,350","21,300","4,050","-15.98","42,891,301","1,054,067,955,850"
7,008560,메리츠증권,"3,660","3,475",185,"-5.05","39,275,636","142,268,479,920"
8,006800,미래에셋대우,"6,890","6,340",550,"-7.98","37,568,972","255,497,598,710"
9,055550,신한지주,"39,150","32,300","6,850","-17.5","36,922,696","1,341,793,493,908"
10,024110,기업은행,"10,750","9,510","1,240","-11.53","35,212,387","358,438,008,310"
11,105560,KB금융,"43,950","38,900","5,050","-11.49","31,774,330","1,324,810,060,393"
12,021240,코웨이,"87,800","68,900","18,900","-21.53","25,982,271","2,315,801,859,333"
13,009830,한화솔루션,"16,850","17,850","1,000","5.93","23,043,458","436,099,688,950"
14,000270,기아차,"40,900","36,250","4,650","-11.37","22,325,910","892,288,781,500"
15,018880,한온시스템,"10,500","10,550",50,"0.48","21,931,719","236,715,692,220"
16,086790,하나금융지주,"33,200","31,400","1,800","-5.42","21,070,984","697,982,753,669"
17,005380,현대차,"125,000","115,000","10,000","-8.0","19,525,736","2,489,137,623,500"
18,009150,삼성전기,"125,000","126,000","1,000","0.8","18,186,689","2,493,039,379,313"
19,138930,BNK금융지주,"6,750","6,170",580,"-8.59","17,390,221","115,461,445,200"
20,030200,KT,"25,350","23,900","1,450","-5.72","14,318,916","353,896,035,550"
21,003670,포스코케미칼,"57,400","54,900","2,500","-4.36","14,318,213","868,478,436,000"
22,096770,SK이노베이션,"130,000","113,000","17,000","-13.08","13,464,025","1,757,609,382,693"
23,035720,카카오,"159,000","172,000","13,000","8.18","13,365,503","2,377,978,469,040"
24,066570,LG전자,"65,900","60,400","5,500","-8.35","13,332,926","874,943,164,300"
25,068270,셀트리온,"165,000","170,000","5,000","3.03","13,303,359","2,321,065,136,000"
26,006400,삼성SDI,"276,000","295,000","19,000","6.88","12,487,211","4,001,770,658,512"
27,000720,현대건설,"38,200","34,700","3,500","-9.16","10,919,696","413,080,514,600"
28,035420,NAVER,"179,500","174,000","5,500","-3.06","10,704,873","1,968,096,401,826"
29,051910,LG화학,"337,500","368,000","30,500","9.04","10,551,353","4,155,148,500,301"
30,035250,강원랜드,"27,550","22,800","4,750","-17.24","10,008,627","257,542,470,800"
31,033780,KT&G,"95,100","84,700","10,400","-10.94","9,830,861","874,663,926,590"
32,081660,휠라홀딩스,"44,200","38,400","5,800","-13.12","9,337,429","400,143,045,420"
33,090430,아모레퍼시픽,"188,000","161,000","27,000","-14.36","9,270,738","1,688,393,689,500"
34,004020,현대제철,"28,300","23,850","4,450","-15.72","9,161,575","250,935,485,650"
35,028260,삼성물산,"108,500","105,500","3,000","-2.76","7,985,077","906,365,369,250"
36,161390,한국타이어앤테크놀로지,"28,700","25,500","3,200","-11.15","7,799,184","217,040,733,302"
37,047810,한국항공우주,"30,100","25,650","4,450","-14.78","7,797,859","225,773,004,300"
38,003550,LG,"70,300","67,500","2,800","-3.98","7,530,094","550,616,584,100"
39,010950,S-Oil,"76,200","66,600","9,600","-12.6","7,433,329","554,107,867,600"
40,030000,제일기획,"21,150","19,350","1,800","-8.51","7,313,994","154,704,180,335"
41,010060,OCI,"55,800","49,250","6,550","-11.74","6,281,664","371,813,609,750"
42,001450,현대해상,"22,000","22,600",600,"2.73","6,253,777","140,552,150,350"
43,114090,GKL,"18,300","16,800","1,500","-8.2","6,195,589","114,730,896,100"
44,005490,POSCO,"221,000","195,500","25,500","-11.54","5,886,043","1,250,310,138,342"
45,032830,삼성생명,"69,500","58,500","11,000","-15.83","5,758,139","377,436,701,676"
46,016360,삼성증권,"35,250","33,100","2,150","-6.1","5,335,601","186,573,767,300"
47,005830,DB손해보험,"42,500","43,300",800,"1.88","5,282,865","231,208,179,213"
48,011070,LG이노텍,"152,000","130,000","22,000","-14.47","4,944,841","733,307,416,000"
49,012330,현대모비스,"229,500","210,000","19,500","-8.5","4,644,742","1,064,040,682,900"
50,017670,SK텔레콤,"229,500","212,500","17,000","-7.41","4,582,386","1,022,177,257,273"
51,009540,한국조선해양,"114,000","104,000","10,000","-8.77","4,509,683","515,805,555,000"
52,161890,한국콜마,"42,250","40,950","1,300","-3.08","4,456,727","199,273,808,650"
53,035760,CJ ENM,"138,200","125,800","12,400","-8.97","4,375,078","670,716,723,100"
54,048260,오스템임플란트,"42,500","32,500","10,000","-23.53","4,266,016","167,126,439,350"
55,139480,이마트,"111,000","105,000","6,000","-5.41","4,251,336","459,030,044,520"
56,004990,롯데지주,"35,300","29,050","6,250","-17.71","3,918,138","127,359,002,700"
57,071050,한국금융지주,"66,500","62,800","3,700","-5.56","3,770,406","252,706,380,088"
