순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
58,078930,GS,"45,700","41,250","4,450","-9.74","3,629,764","160,482,983,350"
59,007070,GS리테일,"39,650","35,350","4,300","-10.84","3,561,501","135,498,392,500"
60,034730,SK,"235,500","192,000","43,500","-18.47","3,532,993","793,163,196,045"
61,051600,한전KPS,"37,550","33,250","4,300","-11.45","3,385,084","121,286,750,475"
62,002790,아모레G,"72,200","62,000","10,200","-14.13","3,274,924","226,127,958,031"
63,111770,영원무역,"30,900","31,500",600,"1.94","3,232,332","99,037,695,400"
64,011170,롯데케미칼,"189,500","187,500","2,000","-1.06","3,020,136","606,512,412,486"
65,000810,삼성화재,"211,000","198,000","13,000","-6.16","2,907,953","601,250,082,825"
66,012510,더존비즈온,"90,200","86,000","4,200","-4.66","2,746,327","257,492,763,700"
67,192820,코스맥스,"68,400","75,100","6,700","9.8","2,650,850","198,960,575,700"
68,000210,대림산업,"81,000","72,500","8,500","-10.49","2,643,526","209,848,813,832"
69,056190,에스에프에이,"40,800","36,750","4,050","-9.93","2,624,786","107,940,852,750"
70,011780,금호석유,"65,400","59,300","6,100","-9.33","2,426,924","161,293,206,900"
71,018260,삼성에스디에스,"194,000","166,500","27,500","-14.18","2,361,051","447,558,051,500"
72,009240,한샘,"71,300","64,000","7,300","-10.24","2,293,938","160,173,035,500"
73,029780,삼성카드,"37,950","33,700","4,250","-11.2","2,200,263","79,015,117,850"
74,008930,한미사이언스,"32,200","29,700","2,500","-7.76","2,189,769","71,423,583,100"
75,001040,CJ,"82,800","80,500","2,300","-2.78","2,036,022","181,465,253,800"
76,036570,엔씨소프트,"636,000","649,000","13,000","2.04","1,997,868","1,312,133,597,612"
77,271560,오리온,"102,500","94,300","8,200","-8.0","1,974,788","206,623,754,850"
78,069960,현대백화점,"78,000","70,900","7,100","-9.1","1,849,188","139,095,427,400"
79,004170,신세계,"267,000","236,000","31,000","-11.61","1,814,128","487,076,711,500"
80,192080,더블유게임즈,"47,250","41,100","6,150","-13.02","1,744,708","80,595,835,500"
81,086280,현대글로비스,"147,000","123,000","24,000","-16.33","1,724,216","237,941,492,500"
82,098460,고영,"92,000","95,400","3,400","3.7","1,513,053","149,699,176,170"
83,000120,CJ대한통운,"146,000","133,500","12,500","-8.56","1,419,921","201,747,805,000"
84,010130,고려아연,"380,000","414,500","34,500","9.08","1,291,349","552,207,821,000"
85,012750,에스원,"91,100","82,200","8,900","-9.77","1,224,710","105,996,668,860"
86,097950,CJ제일제당,"237,500","244,000","6,500","2.74","1,219,811","320,613,127,500"
87,039490,키움증권,"70,900","66,100","4,800","-6.77","1,106,499","79,753,873,600"
88,078340,컴투스,"101,800","97,600","4,200","-4.13","1,099,042","113,347,989,200"
89,004800,효성,"71,200","69,300","1,900","-2.67","1,077,114","78,172,556,800"
90,267250,현대중공업지주,"273,500","270,500","3,000","-1.1","1,076,620","308,536,855,000"
91,004370,농심,"231,000","264,000","33,000","14.29","1,048,676","278,365,342,500"
92,036490,SK머티리얼즈,"156,300","148,000","8,300","-5.31","988,209","160,167,172,100"
93,051900,LG생활건강,"1,258,000","1,221,000","37,000","-2.94","986,703","1,307,565,992,605"
94,002380,KCC,"201,500","166,500","35,000","-17.37","928,554","185,327,316,500"
95,128940,한미약품,"281,000","261,000","20,000","-7.12","877,914","247,704,814,000"
96,282330,BGF리테일,"165,000","151,500","13,500","-8.18","761,625","123,713,552,302"
97,000100,유한양행,"218,000","214,000","4,000","-1.83","757,290","165,868,836,500"
98,006650,대한유화,"93,500","85,600","7,900","-8.45","581,342","55,493,740,800"
99,086900,메디톡스,"324,900","293,500","31,400","-9.66","571,498","185,236,353,300"
100,145020,휴젤,"437,300","374,900","62,400","-14.27","253,701","103,745,294,110"
