순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
66,012510,더존비즈온,"80,000","87,900","7,900","9.88","3,770,526","325,643,103,800"
67,010060,OCI,"33,450","39,950","6,500","19.43","3,577,329","135,321,095,650"
68,056190,에스에프에이,"29,850","34,950","5,100","17.09","3,549,486","117,705,726,650"
69,111770,영원무역,"21,700","27,150","5,450","25.12","3,319,695","80,095,586,000"
70,271560,오리온,"110,000","124,000","14,000","12.73","3,262,761","384,021,681,146"
71,029780,삼성카드,"28,000","30,000","2,000","7.14","3,234,823","93,084,673,700"
72,000810,삼성화재,"150,000","190,500","40,500","27.0","3,022,537","541,574,198,474"
73,048260,오스템임플란트,"28,600","32,900","4,300","15.03","2,965,287","92,373,299,100"
74,051600,한전KPS,"28,400","32,450","4,050","14.26","2,850,115","89,612,602,562"
75,035760,CJ ENM,"98,100","127,900","29,800","30.38","2,805,002","312,976,038,200"
76,086280,현대글로비스,"86,200","101,500","15,300","17.75","2,797,210","277,993,414,000"
77,192820,코스맥스,"75,400","89,000","13,600","18.04","2,644,571","221,793,425,400"
78,008930,한미사이언스,"25,500","28,600","3,100","12.16","2,543,136","69,143,292,900"
79,009240,한샘,"51,000","72,800","21,800","42.75","2,519,447","161,396,389,500"
80,069960,현대백화점,"56,300","72,700","16,400","29.13","2,335,188","154,332,934,200"
81,004170,신세계,"210,000","265,000","55,000","26.19","2,316,935","558,134,683,500"
82,001040,CJ,"62,200","81,000","18,800","30.23","2,311,206","168,638,189,500"
83,036570,엔씨소프트,"618,000","643,000","25,000","4.05","2,304,251","1,498,000,636,989"
84,006650,대한유화,"89,900","140,500","50,600","56.28","2,027,971","240,466,534,400"
85,039490,키움증권,"67,200","75,000","7,800","11.61","1,980,814","142,889,303,600"
86,098460,고영,"76,400","81,100","4,700","6.15","1,709,033","136,348,050,233"
87,097950,CJ제일제당,"214,000","272,500","58,500","27.34","1,669,676","407,873,459,128"
88,078340,컴투스,"81,800","107,000","25,200","30.81","1,537,346","150,400,882,300"
89,000120,CJ대한통운,"128,000","148,000","20,000","15.63","1,524,632","212,399,242,500"
90,012750,에스원,"75,700","86,500","10,800","14.27","1,398,670","115,003,501,400"
91,004800,효성,"60,000","69,800","9,800","16.33","1,267,000","84,649,242,300"
92,002380,KCC,"128,000","165,000","37,000","28.91","1,203,312","176,585,026,000"
93,051900,LG생활건강,"1,071,000","1,386,000","315,000","29.41","1,178,910","1,495,502,587,815"
94,267250,현대중공업지주,"194,500","243,000","48,500","24.94","1,115,785","251,174,830,000"
95,010130,고려아연,"345,500","386,000","40,500","11.72","1,077,072","417,053,317,000"
96,004370,농심,"290,000","295,500","5,500","1.9","966,931","286,923,021,000"
97,282330,BGF리테일,"127,500","158,000","30,500","23.92","909,863","134,018,669,027"
98,036490,SK머티리얼즈,"128,100","157,500","29,400","22.95","903,222","132,893,456,100"
99,128940,한미약품,"245,500","259,000","13,500","5.5","891,310","229,581,391,000"
100,145020,휴젤,"329,600","384,100","54,500","16.54","494,345","186,850,228,600"
