종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
005930,삼성전자,"138,558,784","129,086,493","9,472,291","6,781,980,430,400","6,345,230,886,950","436,749,543,450",통신 및 방송 장비 제조업
005380,현대차,"27,181,298","23,091,826","4,089,472","2,543,960,734,100","2,162,784,842,400","381,175,891,700",자동차용 엔진 및 자동차 제조업
000660,SK하이닉스,"39,903,064","35,604,902","4,298,162","3,286,163,115,300","2,948,486,502,200","337,676,613,100",반도체 제조업
105560,KB금융,"26,104,780","20,470,500","5,634,280","852,002,798,700","674,946,718,050","177,056,080,650",기타 금융업
005935,삼성전자우,"19,469,875","16,115,280","3,354,595","817,553,856,900","676,844,445,250","140,709,411,650",-
036570,엔씨소프트,"903,636","720,030","183,606","585,749,513,000","469,004,646,000","116,744,867,000",소프트웨어 개발 및 공급업
006400,삼성SDI,"10,531,669","10,053,548","478,121","2,771,875,633,000","2,657,315,107,500","114,560,525,500",일차전지 및 축전지 제조업
000270,기아차,"23,811,313","19,827,658","3,983,655","681,941,129,250","569,903,790,300","112,037,338,950",자동차용 엔진 및 자동차 제조업
012330,현대모비스,"2,724,720","2,099,397","625,323","469,813,974,500","364,045,198,000","105,768,776,500",자동차 신품 부품 제조업
005490,POSCO,"4,872,324","4,244,078","628,246","837,891,910,000","735,502,099,000","102,389,811,000",1차 철강 제조업
055550,신한지주,"21,268,780","17,796,156","3,472,624","604,463,792,400","511,725,272,450","92,738,519,950",기타 금융업
008350,남선알미늄,"995,899,111","980,932,515","14,966,596","5,766,268,289,175","5,675,447,204,865","90,821,084,310",1차 비철금속 제조업
068270,셀트리온,"30,066,790","29,556,276","510,514","6,277,262,538,000","6,188,230,605,500","89,031,932,500",기초 의약물질 및 생물학적 제제 제조업
032830,삼성생명,"11,668,137","9,800,322","1,867,815","552,555,071,150","466,979,803,650","85,575,267,500",보험업
003490,대한항공,"48,514,101","44,484,485","4,029,616","970,035,446,400","889,816,179,000","80,219,267,400",항공 여객 운송업
024110,기업은행,"44,873,442","35,217,660","9,655,782","341,432,944,830","268,818,989,320","72,613,955,510",은행 및 저축기관
090430,아모레퍼시픽,"3,945,960","3,508,690","437,270","679,190,202,000","606,860,472,000","72,329,730,000",기타 화학제품 제조업
033780,KT&G,"4,096,656","3,190,897","905,759","315,856,062,100","247,113,672,200","68,742,389,900",담배 제조업
066570,LG전자,"11,442,612","10,202,939","1,239,673","605,562,087,600","539,669,248,900","65,892,838,700",통신 및 방송 장비 제조업
018260,삼성에스디에스,"2,420,360","2,041,627","378,733","383,552,198,500","323,879,106,500","59,673,092,000","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
086790,하나금융지주,"24,831,162","22,290,338","2,540,824","615,982,791,900","557,809,623,650","58,173,168,250",기타 금융업
010140,삼성중공업,"112,162,142","98,387,466","13,774,676","474,522,574,150","416,521,268,620","58,001,305,530",선박 및 보트 건조업
009540,한국조선해양,"4,923,322","4,194,666","728,656","391,841,579,000","337,330,395,400","54,511,183,600",선박 및 보트 건조업
034220,LG디스플레이,"33,025,486","28,214,200","4,811,286","366,855,836,550","313,957,876,700","52,897,959,850",전자부품 제조업
035250,강원랜드,"16,202,287","13,913,510","2,288,777","371,695,964,900","322,769,863,000","48,926,101,900",유원지 및 기타 오락관련 서비스업
000100,유한양행,"8,022,637","7,131,190","891,447","421,535,157,400","376,329,267,600","45,205,889,800",의약품 제조업
241560,두산밥캣,"15,103,503","13,097,822","2,005,681","341,591,285,350","297,179,129,450","44,412,155,900",특수 목적용 기계 제조업
047810,한국항공우주,"22,735,221","20,897,037","1,838,184","558,664,869,300","515,213,786,000","43,451,083,300","항공기,우주선 및 부품 제조업"
003000,부광약품,"206,409,890","204,774,604","1,635,286","5,586,747,452,750","5,543,423,446,350","43,324,006,400",의약품 제조업
042670,두산인프라코어,"110,471,433","100,889,492","9,581,941","473,253,970,520","432,481,026,650","40,772,943,870",특수 목적용 기계 제조업
096770,SK이노베이션,"12,516,962","12,071,113","445,849","1,190,295,327,000","1,150,024,116,600","40,271,210,400",석유 정제품 제조업
010950,S-Oil,"16,088,751","15,482,488","606,263","1,078,765,638,200","1,039,554,146,800","39,211,491,400",석유 정제품 제조업
316140,우리금융지주,"32,357,083","27,392,954","4,964,129","257,190,081,450","218,707,308,430","38,482,773,020",기타 금융업
069620,대웅제약,"6,073,898","5,739,565","334,333","682,312,099,900","644,204,060,600","38,108,039,300",의약품 제조업
000210,대림산업,"7,413,394","6,914,687","498,707","588,474,068,400","550,458,954,200","38,015,114,200",토목 건설업
120110,코오롱인더,"15,229,888","14,155,702","1,074,186","504,708,371,450","467,205,740,150","37,502,631,300",화학섬유 제조업
034730,SK,"2,341,576","2,131,039","210,537","409,536,151,500","372,954,437,000","36,581,714,500",기타 금융업
081660,휠라홀딩스,"7,356,891","6,274,715","1,082,176","241,079,123,650","204,900,595,250","36,178,528,400",생활용품 도매업
004990,롯데지주,"28,690,783","27,763,018","927,765","1,136,005,340,800","1,102,570,483,950","33,434,856,850",기타 금융업
004020,현대제철,"15,448,138","13,661,041","1,787,097","298,326,701,600","265,475,246,150","32,851,455,450",1차 철강 제조업
