종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
004910,조광페인트,"421,753","36,368","385,385","2,166,044,060","179,619,555","1,986,424,505",기타 화학제품 제조업
005870,휴니드,"561,690","122,654","439,036","2,786,937,590","809,072,420","1,977,865,170",통신 및 방송 장비 제조업
030210,KTB투자증권,"1,225,965","207,570","1,018,395","2,425,153,585","463,601,260","1,961,552,325",금융 지원 서비스업
000520,삼일제약,"178,681","43,618","135,063","2,707,093,950","791,347,350","1,915,746,600",의약품 제조업
007340,디티알오토모티브,"102,419","34,342","68,077","2,737,555,100","864,425,550","1,873,129,550",일차전지 및 축전지 제조업
012320,경동인베스트,"144,434","83,088","61,346","4,252,621,600","2,386,986,200","1,865,635,400",기타 금융업
077500,유니퀘스트,"778,222","593,154","185,068","6,944,070,555","5,093,482,335","1,850,588,220",기계장비 및 관련 물품 도매업
004370,농심,"483,171","476,427","6,744","147,265,957,000","145,449,975,000","1,815,982,000",기타 식품 제조업
003010,혜인,"906,169","382,945","523,224","3,139,864,335","1,537,234,990","1,602,629,345",기계장비 및 관련 물품 도매업
006880,신송홀딩스,"861,259","304,667","556,592","2,885,979,015","1,312,619,960","1,573,359,055",산업용 농·축산물 및 동·식물 도매업
353200,대덕전자,"620,042","468,896","151,146","6,132,272,820","4,565,629,230","1,566,643,590",전자부품 제조업
023350,한국종합기술,"962,957","534,633","428,324","3,511,743,555","2,006,380,480","1,505,363,075","건축기술, 엔지니어링 및 관련 기술 서비스업"
003080,성보화학,"435,474","52,527","382,947","1,618,545,175","202,126,400","1,416,418,775","비료, 농약 및 살균, 살충제 제조업"
28513K,SK케미칼우,"221,667","195,737","25,930","9,547,387,400","8,178,672,450","1,368,714,950",-
006740,영풍제지,"598,168","132,698","465,470","1,807,106,525","440,140,500","1,366,966,025","골판지, 종이 상자 및 종이용기 제조업"
172580,하이골드12호,"963,668","382,218","581,450","2,197,199,140","906,977,440","1,290,221,700",운송장비 임대업
002150,도화엔지니어링,"405,861","204,615","201,246","2,845,154,540","1,564,598,050","1,280,556,490","건축기술, 엔지니어링 및 관련 기술 서비스업"
004360,세방,"227,216","85,947","141,269","2,075,254,140","814,831,840","1,260,422,300",도로 화물 운송업
071055,한국금융지주우,"221,352","192,493","28,859","7,630,685,600","6,375,146,600","1,255,539,000",-
126560,현대에이치씨엔,"731,213","426,536","304,677","2,947,573,355","1,733,569,495","1,214,003,860",텔레비전 방송업
334890,이지스밸류리츠,"362,891","106,870","256,021","1,654,569,630","514,897,350","1,139,672,280",부동산 임대 및 공급업
083420,그린케미칼,"376,112","45,939","330,173","1,270,704,250","144,665,690","1,126,038,560",기타 화학제품 제조업
042700,한미반도체,"757,224","663,536","93,688","6,923,872,200","5,874,433,310","1,049,438,890",특수 목적용 기계 제조업
015230,대창단조,"49,197","12,191","37,006","1,321,168,650","277,445,250","1,043,723,400",자동차 신품 부품 제조업
003460,유화증권,"196,090","10,655","185,435","1,097,100,240","60,763,855","1,036,336,385",금융 지원 서비스업
