순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"54,200","47,750","6,450","-11.9","856,741,868","42,269,216,023,680"
2,000660,SK하이닉스,"87,900","83,300","4,600","-5.23","149,461,339","12,250,642,650,756"
3,006800,미래에셋대우,"6,340","5,270","1,070","-16.88","101,837,132","501,326,607,935"
4,015760,한국전력,"21,300","19,250","2,050","-9.62","98,761,788","1,958,153,403,000"
5,034220,LG디스플레이,"13,600","11,100","2,500","-18.38","89,119,021","1,018,267,702,240"
6,316140,우리금융지주,"9,610","7,650","1,960","-20.4","74,783,169","583,761,112,460"
7,008560,메리츠증권,"3,475","2,830",645,"-18.56","70,439,679","201,957,002,615"
8,024110,기업은행,"9,510","7,500","2,010","-21.14","64,132,150","482,967,952,000"
9,055550,신한지주,"32,300","28,600","3,700","-11.46","61,037,691","1,699,712,518,455"
10,086790,하나금융지주,"31,400","23,100","8,300","-26.43","57,995,210","1,355,028,087,107"
11,105560,KB금융,"38,900","34,550","4,350","-11.18","55,713,991","1,830,197,855,625"
12,005380,현대차,"115,000","88,700","26,300","-22.87","54,473,076","4,759,125,101,763"
13,032640,LG유플러스,"13,200","10,800","2,400","-18.18","52,597,613","591,946,672,840"
14,000270,기아차,"36,250","26,000","10,250","-28.28","50,565,872","1,394,434,187,500"
15,068270,셀트리온,"170,000","229,000","59,000","34.71","47,749,033","8,676,636,200,000"
16,138930,BNK금융지주,"6,170","4,435","1,735","-28.12","43,828,531","201,843,520,895"
17,009830,한화솔루션,"17,850","13,400","4,450","-24.93","36,873,911","488,914,449,482"
18,009150,삼성전기,"126,000","97,700","28,300","-22.46","33,221,367","3,582,027,141,310"
19,018880,한온시스템,"10,550","8,870","1,680","-15.92","31,651,183","298,665,472,140"
20,096770,SK이노베이션,"113,000","87,000","26,000","-23.01","28,803,894","2,460,857,776,400"
21,000720,현대건설,"34,700","27,450","7,250","-20.89","28,689,975","764,127,154,200"
22,030200,KT,"23,900","19,850","4,050","-16.95","27,352,762","562,128,572,210"
23,066570,LG전자,"60,400","48,200","12,200","-20.2","24,517,191","1,265,794,752,010"
24,035720,카카오,"172,000","155,500","16,500","-9.59","23,847,162","3,695,451,802,063"
25,006400,삼성SDI,"295,000","240,500","54,500","-18.47","22,483,856","5,669,866,788,280"
26,004020,현대제철,"23,850","17,950","5,900","-24.74","21,843,827","393,104,033,500"
27,081660,휠라홀딩스,"38,400","29,050","9,350","-24.35","21,698,816","616,440,658,082"
28,030000,제일기획,"19,350","15,850","3,500","-18.09","18,763,415","286,737,030,550"
29,035420,NAVER,"174,000","170,000","4,000","-2.3","17,814,176","2,851,071,388,064"
30,035250,강원랜드,"22,800","19,750","3,050","-13.38","17,019,728","344,065,643,500"
31,003670,포스코케미칼,"54,900","43,800","11,100","-20.22","16,892,182","780,344,738,700"
32,033780,KT&G,"84,700","74,700","10,000","-11.81","16,499,594","1,269,053,649,900"
33,051910,LG화학,"368,000","305,000","63,000","-17.12","16,474,242","5,238,811,778,000"
34,032830,삼성생명,"58,500","43,000","15,500","-26.5","16,216,453","709,780,089,482"
35,010950,S-Oil,"66,600","57,100","9,500","-14.26","15,980,361","923,028,613,150"
36,047810,한국항공우주,"25,650","20,950","4,700","-18.32","15,786,207","329,985,195,300"
37,016360,삼성증권,"33,100","29,350","3,750","-11.33","14,798,666","416,234,154,150"
38,161390,한국타이어앤테크놀로지,"25,500","19,350","6,150","-24.12","14,524,223","293,389,720,729"
39,028260,삼성물산,"105,500","89,600","15,900","-15.07","12,600,737","1,156,014,826,800"
40,011070,LG이노텍,"130,000","114,000","16,000","-12.31","11,958,089","1,300,869,199,600"
41,005830,DB손해보험,"43,300","34,750","8,550","-19.75","11,827,574","378,241,086,769"
42,005490,POSCO,"195,500","161,000","34,500","-17.65","11,690,528","1,944,161,811,168"
