종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
010130,고려아연,"2,327,851","1,921,814","406,037","877,505,244,000","736,798,162,000","140,707,082,000",1차 비철금속 제조업
267250,현대중공업지주,"3,127,938","2,611,564","516,374","787,538,825,000","653,261,191,500","134,277,633,500",석유 정제품 제조업
036460,한국가스공사,"25,076,287","20,215,327","4,860,960","674,479,163,950","540,971,642,650","133,507,521,300",연료용 가스 제조 및 배관공급업
204320,만도,"39,740,259","34,505,629","5,234,630","1,037,906,969,400","904,897,008,250","133,009,961,150",자동차 신품 부품 제조업
005385,현대차우,"11,106,726","8,689,928","2,416,798","633,688,601,350","503,875,042,050","129,813,559,300",-
016360,삼성증권,"38,058,169","33,303,865","4,754,304","1,094,653,587,600","966,423,919,600","128,229,668,000",금융 지원 서비스업
128940,한미약품,"4,981,752","4,479,884","501,868","1,289,258,441,500","1,161,510,348,500","127,748,093,000",의약품 제조업
139480,이마트,"14,553,956","13,413,159","1,140,797","1,630,102,354,400","1,502,591,319,500","127,511,034,900",종합 소매업
294870,HDC현대산업개발,"89,050,189","82,904,994","6,145,195","1,783,965,350,000","1,659,232,830,150","124,732,519,850",건물 건설업
336370,두산솔루스,"140,564,530","136,671,584","3,892,946","4,554,836,011,500","4,442,684,734,850","112,151,276,650",전자부품 제조업
002380,KCC,"4,290,370","3,559,484","730,886","666,727,005,500","556,077,628,000","110,649,377,500",기타 화학제품 제조업
031430,신세계인터내셔날,"5,157,908","4,520,254","637,654","987,895,029,000","880,860,229,500","107,034,799,500","섬유, 의복, 신발 및 가죽제품 소매업"
088350,한화생명,"725,569,196","657,351,165","68,218,031","1,169,494,936,424","1,063,241,728,821","106,253,207,603",보험업
006280,녹십자,"18,615,990","18,056,176","559,814","3,089,766,169,900","2,983,881,792,600","105,884,377,300",의약품 제조업
051915,LG화학우,"4,946,242","4,390,805","555,437","1,070,046,338,500","964,317,803,000","105,728,535,500",-
032640,LG유플러스,"96,261,686","87,304,317","8,957,369","1,204,195,472,420","1,098,603,027,140","105,592,445,280",전기 통신업
069620,대웅제약,"28,664,334","27,765,876","898,458","3,439,028,975,600","3,335,896,610,700","103,132,364,900",의약품 제조업
018260,삼성에스디에스,"11,620,086","10,994,796","625,290","2,006,663,962,000","1,904,622,159,500","102,041,802,500","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
241560,두산밥캣,"57,528,811","53,574,606","3,954,205","1,495,139,286,100","1,398,280,951,550","96,858,334,550",특수 목적용 기계 제조업
006405,삼성SDI우,"6,087,633","5,603,158","484,475","1,208,136,197,600","1,112,553,825,700","95,582,371,900",-
000810,삼성화재,"3,599,944","3,094,542","505,402","662,052,978,000","566,765,303,500","95,287,674,500",보험업
011790,SKC,"41,036,199","39,160,735","1,875,464","2,183,214,058,500","2,088,375,467,800","94,838,590,700",기타 화학제품 제조업
088980,맥쿼리인프라,"66,375,119","58,397,078","7,978,041","742,689,712,800","647,868,474,830","94,821,237,970",신탁업 및 집합투자업
012450,한화에어로스페이스,"64,121,590","60,472,835","3,648,755","1,705,960,436,400","1,613,164,325,350","92,796,111,050","항공기,우주선 및 부품 제조업"
002790,아모레G,"11,364,238","9,835,630","1,528,608","657,204,437,300","568,297,096,550","88,907,340,750",기타 화학제품 제조업
010620,현대미포조선,"24,529,965","21,927,344","2,602,621","822,159,335,500","733,814,851,650","88,344,483,850",선박 및 보트 건조업
081660,휠라홀딩스,"43,364,218","41,200,515","2,163,703","1,569,041,153,100","1,483,641,650,700","85,399,502,400",생활용품 도매업
000990,DB하이텍,"117,172,313","114,010,758","3,161,555","3,141,498,909,200","3,057,603,882,570","83,895,026,630",반도체 제조업
069960,현대백화점,"6,440,854","5,116,094","1,324,760","421,098,163,100","340,742,153,600","80,356,009,500",종합 소매업
344820,케이씨씨글라스,"26,600,990","24,593,095","2,007,895","846,005,173,050","765,875,215,750","80,129,957,300",유리 및 유리제품 제조업
006260,LS,"10,063,964","7,913,672","2,150,292","358,471,934,700","282,870,950,200","75,600,984,500",기타 금융업
030000,제일기획,"36,606,923","32,230,239","4,376,684","632,172,536,000","557,018,126,250","75,154,409,750",광고업
114090,GKL,"28,553,048","23,039,324","5,513,724","425,007,748,800","350,832,180,050","74,175,568,750",유원지 및 기타 오락관련 서비스업
139130,DGB금융지주,"84,426,737","70,836,508","13,590,229","435,353,082,050","361,518,172,810","73,834,909,240",기타 금융업
003000,부광약품,"692,323,914","691,009,894","1,314,020","20,458,730,065,700","20,386,609,010,400","72,121,055,300",의약품 제조업
120110,코오롱인더,"30,777,702","28,844,240","1,933,462","1,031,151,646,050","961,052,279,600","70,099,366,450",화학섬유 제조업
000240,한국테크놀로지그룹,"61,298,130","56,427,749","4,870,381","773,595,661,740","706,218,998,930","67,376,662,810",기타 금융업
007070,GS리테일,"15,587,013","13,717,515","1,869,498","590,891,060,250","523,585,589,050","67,305,471,200",종합 소매업
008060,대덕,"63,473,213","54,624,803","8,848,410","497,279,649,840","430,070,574,320","67,209,075,520",전자부품 제조업
138930,BNK금융지주,"71,628,922","58,558,878","13,070,044","363,521,556,880","297,888,214,270","65,633,342,610",기타 금융업
005387,현대차2우B,"4,551,253","3,433,291","1,117,962","283,400,693,050","219,169,565,000","64,231,128,050",-
042660,대우조선해양,"51,235,197","47,891,348","3,343,849","1,183,920,205,250","1,119,719,254,150","64,200,951,100",선박 및 보트 건조업
079160,CJ CGV,"28,610,968","26,011,207","2,599,761","669,727,960,000","605,693,204,500","64,034,755,500","영화, 비디오물, 방송프로그램 제작 및 배급업"
008560,메리츠증권,"196,923,006","176,209,846","20,713,160","628,090,062,340","564,526,381,305","63,563,681,035",금융 지원 서비스업
004990,롯데지주,"73,828,389","72,085,786","1,742,603","2,821,020,307,400","2,758,710,490,750","62,309,816,650",기타 금융업
161890,한국콜마,"27,415,197","25,999,365","1,415,832","1,204,509,662,250","1,142,314,919,450","62,194,742,800",기타 화학제품 제조업
009190,대양금속,"429,559,101","417,274,220","12,284,881","1,956,249,490,235","1,894,122,566,280","62,126,923,955",1차 철강 제조업
011210,현대위아,"18,229,036","16,546,743","1,682,293","666,059,797,500","604,878,417,150","61,181,380,350",자동차 신품 부품 제조업
353200,대덕전자,"106,068,370","99,527,397","6,540,973","1,134,977,598,830","1,075,201,911,460","59,775,687,370",전자부품 제조업
086280,현대글로비스,"6,886,509","6,280,503","606,006","753,860,797,500","694,350,967,900","59,509,829,600",기타 운송관련 서비스업
089590,제주항공,"31,839,648","28,701,355","3,138,293","594,861,458,750","537,031,858,800","57,829,599,950",항공 여객 운송업
090435,아모레퍼시픽우,"5,509,741","4,639,196","870,545","363,424,730,400","307,878,531,600","55,546,198,800",-
003410,쌍용양회,"112,306,994","101,556,426","10,750,568","567,540,189,610","512,697,635,970","54,842,553,640","시멘트, 석회, 플라스터 및 그 제품 제조업"
007570,일양약품,"197,797,910","196,891,021","906,889","10,642,464,301,800","10,588,620,574,600","53,843,727,200",의약품 제조업
007460,에이프로젠 KIC,"1,431,977,213","1,415,226,867","16,750,346","4,208,003,395,880","4,159,034,448,270","48,968,947,610",기타 금속 가공제품 제조업
029780,삼성카드,"8,424,407","6,770,035","1,654,372","249,016,576,550","201,222,530,900","47,794,045,650",기타 금융업
084680,이월드,"456,044,071","445,566,254","10,477,817","2,139,882,654,005","2,093,691,490,365","46,191,163,640",유원지 및 기타 오락관련 서비스업
012510,더존비즈온,"13,777,227","13,302,450","474,777","1,345,934,183,900","1,299,845,828,500","46,088,355,400","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
006060,화승인더,"89,042,896","83,308,695","5,734,201","755,977,375,750","710,155,359,260","45,822,016,490",플라스틱제품 제조업
002350,넥센타이어,"27,777,362","19,996,754","7,780,608","159,768,568,780","114,176,342,120","45,592,226,660",고무제품 제조업
272210,한화시스템,"124,090,317","119,449,502","4,640,815","1,131,181,363,270","1,085,602,535,665","45,578,827,605",전자부품 제조업
000210,대림산업,"17,972,577","17,400,293","572,284","1,452,251,099,900","1,406,770,469,700","45,480,630,200",토목 건설업
005850,에스엘,"11,955,572","8,459,563","3,496,009","156,815,799,880","112,008,768,260","44,807,031,620",자동차 신품 부품 제조업
000150,두산,"13,947,534","12,982,737","964,797","593,500,533,800","549,394,373,500","44,106,160,300",회사 본부 및 경영 컨설팅 서비스업
008930,한미사이언스,"17,888,206","16,535,814","1,352,392","582,199,712,750","538,522,724,450","43,676,988,300",기타 금융업
012690,모나리자,"875,639,125","870,009,126","5,629,999","5,916,167,136,825","5,872,812,737,180","43,354,399,645",기타 종이 및 판지 제품 제조업
006360,GS건설,"36,959,035","35,293,146","1,665,889","914,378,077,250","871,249,911,000","43,128,166,250",건물 건설업
010060,OCI,"30,874,799","29,789,119","1,085,680","1,427,962,661,900","1,384,963,337,750","42,999,324,150",기초 화학물질 제조업
039130,하나투어,"15,464,255","14,467,781","996,474","654,552,845,650","612,018,141,900","42,534,703,750",여행사 및 기타 여행보조 서비스업
005300,롯데칠성,"2,403,876","2,002,279","401,597","255,244,731,800","212,786,849,900","42,457,881,900",비알코올음료 및 얼음 제조업
003220,대원제약,"69,868,874","67,954,942","1,913,932","1,323,711,557,570","1,282,392,873,790","41,318,683,780",의약품 제조업
003090,대웅,"133,760,851","131,809,692","1,951,159","3,010,942,923,870","2,969,980,728,790","40,962,195,080",기타 금융업
000020,동화약품,"145,216,506","142,096,567","3,119,939","1,943,354,892,730","1,903,256,329,815","40,098,562,915",의약품 제조업
005830,DB손해보험,"10,484,192","9,465,605","1,018,587","434,358,859,850","394,983,871,600","39,374,988,250",보험업
004800,효성,"4,727,066","4,128,217","598,849","315,838,738,200","276,553,523,100","39,285,215,100",기타 금융업
282330,BGF리테일,"1,722,017","1,438,455","283,562","253,500,275,500","214,565,642,500","38,934,633,000",종합 소매업
298050,효성첨단소재,"7,167,106","6,793,955","373,151","733,045,635,350","694,682,240,450","38,363,394,900",화학섬유 제조업
019170,신풍제약,"1,518,871,046","1,515,828,726","3,042,320","26,766,771,388,820","26,731,210,668,190","35,560,720,630",의약품 제조업
051600,한전KPS,"9,071,270","7,857,189","1,214,081","289,373,502,750","254,018,143,750","35,355,359,000",전기 및 통신 공사업
005180,빙그레,"5,846,709","5,287,951","558,758","362,331,146,300","327,639,972,050","34,691,174,250",낙농제품 및 식용빙과류 제조업
005440,현대그린푸드,"30,413,223","26,489,864","3,923,359","255,195,835,325","220,647,385,120","34,548,450,205",종합 소매업
161390,한국타이어앤테크놀로지,"19,818,701","18,353,318","1,465,383","471,254,547,250","436,992,682,950","34,261,864,300",고무제품 제조업
02826K,삼성물산우B,"3,217,594","2,865,134","352,460","307,635,320,300","273,799,787,200","33,835,533,100",-
034020,두산중공업,"335,818,875","329,713,986","6,104,889","1,538,983,248,990","1,505,165,950,490","33,817,298,500",일반 목적용 기계 제조업
118000,우리들휴브레인,"358,678,268","349,859,245","8,819,023","1,184,186,292,080","1,151,130,955,965","33,055,336,115",기계장비 및 관련 물품 도매업
145720,덴티움,"6,483,065","5,732,556","750,509","267,816,226,300","235,086,894,100","32,729,332,200",의료용 기기 제조업
000815,삼성화재우,"946,581","700,885","245,696","122,837,386,100","90,458,192,500","32,379,193,600",-
007700,F&F,"6,903,413","6,506,275","397,138","682,888,198,100","651,249,309,200","31,638,888,900",봉제의복 제조업
214320,이노션,"2,543,795","1,915,822","627,973","136,226,945,250","105,213,864,100","31,013,081,150",광고업
017960,한국카본,"93,395,249","88,899,889","4,495,360","731,098,290,265","700,717,977,155","30,380,313,110","구조용 금속제품, 탱크 및 증기발생기 제조업"
000880,한화,"47,777,941","46,634,160","1,143,781","1,097,845,224,400","1,068,384,845,450","29,460,378,950",기타 화학제품 제조업
005250,녹십자홀딩스,"17,844,199","16,699,363","1,144,836","425,367,673,950","395,970,646,200","29,397,027,750",회사 본부 및 경영 컨설팅 서비스업
051900,LG생활건강,"1,394,057","1,352,323","41,734","1,784,463,553,000","1,755,178,809,000","29,284,744,000",기타 화학제품 제조업
093050,LF,"11,168,500","9,198,101","1,970,399","147,719,813,500","119,034,627,300","28,685,186,200",봉제의복 제조업
003850,보령제약,"79,149,031","77,180,556","1,968,475","1,149,853,749,110","1,122,273,203,500","27,580,545,610",의약품 제조업
069260,휴켐스,"8,794,941","7,204,555","1,590,386","150,789,858,450","124,066,719,450","26,723,139,000",기타 화학제품 제조업
001800,오리온홀딩스,"9,747,816","7,799,069","1,948,747","133,968,268,868","107,451,582,750","26,516,686,118",기타 금융업
018880,한온시스템,"60,374,151","57,226,795","3,147,356","573,652,945,480","547,800,355,900","25,852,589,580",일반 목적용 기계 제조업
033270,유나이티드제약,"52,316,368","51,008,054","1,308,314","1,031,643,431,150","1,006,133,006,750","25,510,424,400",의약품 제조업
267270,현대건설기계,"24,268,593","23,053,888","1,214,705","493,861,937,900","468,897,275,400","24,964,662,500",일반 목적용 기계 제조업
000060,메리츠화재,"13,502,586","11,684,731","1,817,855","184,649,267,280","160,477,019,940","24,172,247,340",보험업
066575,LG전자우,"8,342,441","7,213,854","1,128,587","197,902,355,900","174,514,238,750","23,388,117,150",-
126560,현대에이치씨엔,"100,086,809","94,909,539","5,177,270","421,497,541,140","398,166,437,995","23,331,103,145",텔레비전 방송업
000970,한국주철관,"36,993,533","34,765,436","2,228,097","372,102,472,860","349,310,114,380","22,792,358,480",1차 철강 제조업
030790,비케이탑스,"1,132,885,243","1,112,729,031","20,156,212","607,034,415,410","584,336,793,833","22,697,621,577","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
192650,드림텍,"389,258,268","386,778,328","2,479,940","3,550,289,039,485","3,527,871,390,775","22,417,648,710",전자부품 제조업
047050,포스코인터내셔널,"27,662,317","26,199,763","1,462,554","398,703,997,770","376,390,100,580","22,313,897,190",상품 중개업
047400,유니온머티리얼,"921,521,775","915,736,003","5,785,772","3,262,670,777,905","3,240,547,838,329","22,122,939,576","내화, 비내화 요업제품 제조업"
00088K,한화3우B,"14,141,774","12,257,917","1,883,857","167,394,006,820","146,690,180,190","20,703,826,630",-
00680K,미래에셋대우2우B,"44,232,328","36,839,585","7,392,743","145,084,516,415","124,396,070,195","20,688,446,220",-
307950,현대오토에버,"4,352,278","3,885,100","467,178","172,352,203,100","151,709,616,950","20,642,586,150",소프트웨어 개발 및 공급업
051905,LG생활건강우,"196,297","163,982","32,315","138,563,406,000","117,922,899,000","20,640,507,000",-
241590,화승엔터프라이즈,"34,728,726","32,757,195","1,971,531","452,054,867,730","431,574,120,850","20,480,746,880",신발 및 신발 부분품 제조업
298040,효성중공업,"26,561,925","25,486,462","1,075,463","649,337,960,500","628,989,742,650","20,348,217,850","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
009410,태영건설,"36,239,002","35,126,691","1,112,311","527,644,045,700","507,329,461,490","20,314,584,210",토목 건설업
002070,남영비비안,"895,239,067","885,180,676","10,058,391","1,374,196,150,254","1,354,018,219,487","20,177,930,767",봉제의복 제조업
060980,한라홀딩스,"2,372,454","1,727,402","645,052","73,403,403,300","53,308,248,400","20,095,154,900",기타 금융업
025540,한국단자,"4,386,728","3,793,915","592,813","150,961,361,000","131,022,798,050","19,938,562,950","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
012630,HDC,"38,358,487","36,456,362","1,902,125","362,686,983,210","342,919,544,100","19,767,439,110",기타 금융업
