종목코드,종목명,거래량(주)_매수,거래량(주)_매도,거래량(주)_순매수,거래대금(원)_매수,거래대금(원)_매도,거래대금(원)_순매수,업종명
006260,LS,"2,610,081","1,758,571","851,510","77,866,028,650","51,727,536,850","26,138,491,800",기타 금융업
078930,GS,"2,214,111","1,540,185","673,926","83,246,815,500","57,292,730,150","25,954,085,350",기타 금융업
267250,현대중공업지주,"771,829","650,611","121,218","160,669,150,500","135,410,695,500","25,258,455,000",석유 정제품 제조업
047810,한국항공우주,"9,223,238","8,149,329","1,073,909","193,176,086,050","168,580,665,650","24,595,420,400","항공기,우주선 및 부품 제조업"
023530,롯데쇼핑,"2,426,328","2,141,099","285,229","184,099,018,300","160,458,846,800","23,640,171,500",종합 소매업
088350,한화생명,"135,856,545","117,314,613","18,541,932","176,523,926,914","153,471,347,021","23,052,579,893",보험업
001820,삼화콘덴서,"4,799,582","4,360,537","439,045","221,463,849,150","199,950,094,200","21,513,754,950",전자부품 제조업
086280,현대글로비스,"1,144,131","940,835","203,296","108,941,781,100","87,834,942,400","21,106,838,700",기타 운송관련 서비스업
005830,DB손해보험,"2,637,316","2,075,802","561,514","85,933,506,950","65,601,677,650","20,331,829,300",보험업
034020,두산중공업,"77,857,190","73,540,298","4,316,892","273,162,641,305","252,881,877,905","20,280,763,400",일반 목적용 기계 제조업
018260,삼성에스디에스,"1,753,583","1,646,305","107,278","268,159,801,500","249,027,218,500","19,132,583,000","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
012510,더존비즈온,"2,182,754","1,966,633","216,121","168,772,843,100","150,151,013,100","18,621,830,000","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
051915,LG화학우,"542,711","418,802","123,909","82,208,628,000","63,652,654,000","18,555,974,000",-
001040,CJ,"1,232,922","980,132","252,790","82,955,612,100","64,485,383,300","18,470,228,800",기타 금융업
008060,대덕전자,"10,479,757","8,505,628","1,974,129","82,479,906,560","65,622,391,220","16,857,515,340",전자부품 제조업
042660,대우조선해양,"5,513,395","4,367,371","1,146,024","78,179,401,350","61,467,260,700","16,712,140,650",선박 및 보트 건조업
002320,한진,"4,918,718","4,294,081","624,637","159,577,974,100","143,697,417,650","15,880,556,450",도로 화물 운송업
071050,한국금융지주,"3,078,681","2,605,976","472,705","132,328,503,050","116,544,555,050","15,783,948,000",기타 금융업
000810,삼성화재,"802,111","703,138","98,973","123,899,508,500","108,519,234,500","15,380,274,000",보험업
004170,신세계,"855,930","780,292","75,638","194,445,358,000","179,350,341,000","15,095,017,000",종합 소매업
120110,코오롱인더,"3,146,432","2,703,241","443,191","87,086,681,850","72,995,286,400","14,091,395,450",화학섬유 제조업
084680,이월드,"38,099,330","34,633,194","3,466,136","136,366,071,770","122,686,616,590","13,679,455,180",유원지 및 기타 오락관련 서비스업
