순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"55,800","56,400",600,"1.08","319,891,636","18,809,460,519,447"
2,000660,SK하이닉스,"94,100","93,500",600,"-0.64","59,366,620","5,792,324,224,211"
3,008560,메리츠증권,"3,790","3,660",130,"-3.43","46,259,424","166,455,003,074"
4,034220,LG디스플레이,"16,250","15,400",850,"-5.23","43,220,709","671,898,836,500"
5,032640,LG유플러스,"14,200","13,250",950,"-6.69","39,885,388","537,675,617,390"
6,316140,우리금융지주,"11,600","10,150","1,450","-12.5","38,739,407","415,487,072,650"
7,006800,미래에셋대우,"7,550","6,890",660,"-8.74","37,588,340","279,484,632,090"
8,024110,기업은행,"11,800","10,750","1,050","-8.9","26,260,810","293,386,494,250"
9,000270,기아차,"44,300","40,900","3,400","-7.67","24,817,954","1,035,237,156,999"
10,015760,한국전력,"27,800","25,350","2,450","-8.81","23,898,269","642,321,413,800"
11,055550,신한지주,"43,350","39,150","4,200","-9.69","22,423,902","925,813,006,109"
12,005380,현대차,"120,500","125,000","4,500","3.73","21,724,770","2,640,814,652,265"
13,105560,KB금융,"47,650","43,950","3,700","-7.76","21,252,135","986,272,060,318"
14,086790,하나금융지주,"36,900","33,200","3,700","-10.03","17,449,003","608,049,089,300"
15,009830,한화솔루션,"18,850","16,850","2,000","-10.61","15,460,647","294,349,741,000"
16,081660,휠라홀딩스,"53,000","44,200","8,800","-16.6","15,300,198","732,668,762,200"
17,003670,포스코케미칼,"49,250","57,400","8,150","16.55","14,328,506","799,885,523,523"
18,009150,삼성전기,"125,000","125,000",0,"0.0","14,021,475","1,833,910,096,500"
19,138930,BNK금융지주,"7,660","6,750",910,"-11.88","13,960,205","99,831,955,420"
20,018880,한온시스템,"11,150","10,500",650,"-5.83","13,671,253","149,705,655,500"
21,066570,LG전자,"72,100","65,900","6,200","-8.6","12,829,286","877,846,135,600"
22,030200,KT,"27,000","25,350","1,650","-6.11","12,617,484","328,926,663,247"
23,068270,셀트리온,"181,000","165,000","16,000","-8.84","11,437,252","2,004,597,384,000"
24,000720,현대건설,"42,300","38,200","4,100","-9.69","11,362,743","454,277,445,950"
25,004020,현대제철,"31,450","28,300","3,150","-10.02","10,023,703","295,165,207,050"
26,096770,SK이노베이션,"150,000","130,000","20,000","-13.33","9,560,203","1,285,313,428,324"
27,033780,KT&G,"93,800","95,100","1,300","1.39","9,290,199","873,738,196,006"
28,035720,카카오,"153,500","159,000","5,500","3.58","9,028,290","1,471,035,114,000"
29,035420,NAVER,"186,500","179,500","7,000","-3.75","8,845,190","1,630,630,669,354"
30,006400,삼성SDI,"236,000","276,000","40,000","16.95","8,081,124","2,145,424,670,146"
31,090430,아모레퍼시픽,"200,000","188,000","12,000","-6.0","8,008,854","1,709,299,580,250"
32,004990,롯데지주,"38,950","35,300","3,650","-9.37","7,715,447","294,759,679,100"
33,028260,삼성물산,"108,500","108,500",0,"0.0","7,604,864","839,281,315,500"
34,035250,강원랜드,"29,600","27,550","2,050","-6.93","7,537,077","215,804,158,250"
35,010950,S-Oil,"95,300","76,200","19,100","-20.04","7,297,418","615,102,123,679"
36,047810,한국항공우주,"34,050","30,100","3,950","-11.6","6,765,856","220,645,889,300"
37,161890,한국콜마,"47,250","42,250","5,000","-10.58","6,743,931","332,136,704,400"
38,161390,한국타이어앤테크놀로지,"33,550","28,700","4,850","-14.46","6,316,203","192,580,037,682"
39,030000,제일기획,"24,050","21,150","2,900","-12.06","6,312,908","142,288,294,150"
40,051910,LG화학,"317,500","337,500","20,000","6.3","6,191,588","2,067,074,950,936"
