순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
1,005930,삼성전자,"50,000","50,700",700,"1.4","374,264,673","18,385,574,461,984"
2,000660,SK하이닉스,"83,700","81,500","2,200","-2.63","83,525,536","6,896,381,543,378"
3,006800,미래에셋대우,"5,610","6,170",560,"9.98","69,980,567","406,655,952,360"
4,015760,한국전력,"23,850","21,600","2,250","-9.43","55,017,955","1,213,372,614,750"
5,316140,우리금융지주,"8,440","9,130",690,"8.18","53,303,073","439,402,467,490"
6,105560,KB금융,"34,750","34,000",750,"-2.16","52,428,817","1,710,858,576,694"
7,008560,메리츠증권,"3,270","3,285",15,"0.46","49,691,425","166,797,419,625"
8,024110,기업은행,"7,900","8,280",380,"4.81","49,193,834","383,823,859,220"
9,009830,한화솔루션,"14,550","16,150","1,600","11.0","45,486,647","721,869,173,150"
10,000270,기아차,"29,650","34,250","4,600","15.51","42,944,226","1,322,373,215,726"
11,032640,LG유플러스,"13,350","13,150",200,"-1.5","42,194,742","565,105,218,925"
12,034220,LG디스플레이,"11,050","10,200",850,"-7.69","40,729,026","427,878,009,700"
13,055550,신한지주,"30,550","30,150",400,"-1.31","40,435,937","1,204,571,299,356"
14,086790,하나금융지주,"27,600","29,750","2,150","7.79","40,230,950","1,074,868,725,938"
15,035720,카카오,"184,000","263,500","79,500","43.21","33,007,591","7,700,459,093,000"
16,138930,BNK금융지주,"5,050","5,080",30,"0.59","32,979,694","158,569,717,400"
17,005380,현대차,"93,600","98,000","4,400","4.7","29,451,686","2,813,817,024,100"
18,018880,한온시스템,"9,130","9,740",610,"6.68","29,418,856","267,750,336,422"
19,004990,롯데지주,"40,100","34,300","5,800","-14.46","27,798,627","1,097,867,382,950"
20,035250,강원랜드,"25,050","24,200",850,"-3.39","23,195,855","568,258,241,057"
21,035420,NAVER,"197,500","226,000","28,500","14.43","21,720,941","4,841,605,833,420"
22,030200,KT,"23,850","24,350",500,"2.1","20,027,348","488,082,351,100"
23,004020,현대제철,"21,600","21,850",250,"1.16","19,031,769","389,966,560,300"
24,096770,SK이노베이션,"98,300","118,500","20,200","20.55","17,847,837","1,913,744,091,700"
25,000100,유한양행,"47,150","51,900","4,750","10.07","16,568,008","879,450,501,000"
26,000720,현대건설,"35,050","34,200",850,"-2.43","15,818,768","534,516,689,400"
27,066570,LG전자,"54,900","59,300","4,400","8.01","15,009,500","847,579,371,900"
28,006400,삼성SDI,"286,000","359,000","73,000","25.52","14,652,159","4,828,014,162,186"
29,086900,메디톡스,"115,600","169,000","53,400","46.19","14,368,029","2,248,960,976,200"
30,009150,삼성전기,"113,500","125,000","11,500","10.13","13,798,246","1,651,112,569,000"
31,030000,제일기획,"17,700","16,600","1,100","-6.21","13,713,075","234,966,968,400"
32,068270,셀트리온,"210,500","213,500","3,000","1.43","13,340,734","2,843,315,456,000"
33,010950,S-Oil,"70,000","70,700",700,"1.0","13,332,724","930,369,619,500"
34,081660,휠라홀딩스,"34,800","38,450","3,650","10.49","13,312,848","469,145,907,550"
35,047810,한국항공우주,"25,650","25,350",300,"-1.17","13,002,284","315,991,483,850"
36,032830,삼성생명,"49,100","45,700","3,400","-6.92","13,001,078","599,930,469,550"
37,161390,한국타이어앤테크놀로지,"21,250","23,450","2,200","10.35","12,381,836","274,731,506,920"
38,051910,LG화학,"376,500","390,500","14,000","3.72","11,089,158","4,094,181,369,250"
39,016360,삼성증권,"30,100","27,950","2,150","-7.14","10,988,863","312,317,489,150"
40,033780,KT&G,"81,100","83,900","2,800","3.45","10,858,195","880,587,534,300"
41,034730,SK,"182,000","239,000","57,000","31.32","10,201,645","2,272,739,123,454"
42,007070,GS리테일,"37,950","42,600","4,650","12.25","9,686,382","397,834,722,292"
43,003670,포스코케미칼,"51,800","55,500","3,700","7.14","9,621,125","537,022,200,650"
44,005490,POSCO,"184,500","181,000","3,500","-1.9","9,060,321","1,602,007,483,300"
45,028260,삼성물산,"106,000","99,100","6,900","-6.51","9,049,653","916,326,034,900"
46,009540,한국조선해양,"82,700","90,800","8,100","9.79","8,057,295","682,328,139,000"
47,010060,OCI,"39,950","39,400",550,"-1.38","7,680,022","319,936,306,950"
48,071050,한국금융지주,"50,100","52,700","2,600","5.19","7,337,530","362,624,967,525"
49,012510,더존비즈온,"87,900","120,000","32,100","36.52","7,100,907","755,770,496,050"
50,021240,코웨이,"61,400","66,600","5,200","8.47","7,048,220","452,905,146,594"
51,000210,대림산업,"88,100","92,300","4,200","4.77","6,677,808","560,381,736,300"
