순위,종목코드,종목명,전일종가,현재가,대비,등락률,거래량,거래대금
52,114090,GKL,"15,850","14,900",950,"-5.99","6,394,709","96,396,921,450"
53,005830,DB손해보험,"44,150","43,400",750,"-1.7","6,343,093","294,830,484,154"
54,001450,현대해상,"26,100","24,250","1,850","-7.09","6,224,022","157,652,690,850"
55,003550,LG,"62,000","63,100","1,100","1.77","5,986,163","373,919,814,000"
56,012330,현대모비스,"172,000","198,000","26,000","15.12","5,867,741","1,056,511,959,322"
57,090430,아모레퍼시픽,"177,000","163,000","14,000","-7.91","5,594,893","968,785,943,299"
58,192080,더블유게임즈,"58,000","67,000","9,000","15.52","5,529,427","358,440,229,900"
59,078930,GS,"38,550","37,700",850,"-2.2","5,468,749","208,387,747,600"
60,018260,삼성에스디에스,"162,500","190,500","28,000","17.23","5,445,910","967,973,647,500"
61,017670,SK텔레콤,"211,500","216,000","4,500","2.13","5,186,311","1,086,215,668,502"
62,011070,LG이노텍,"132,000","147,500","15,500","11.74","5,077,135","711,744,575,000"
63,011780,금호석유,"76,400","70,900","5,500","-7.2","4,981,847","356,504,846,950"
64,161890,한국콜마,"42,700","43,300",600,"1.41","4,615,840","199,299,022,250"
65,111770,영원무역,"27,150","30,650","3,500","12.89","4,581,687","129,253,963,450"
66,139480,이마트,"120,000","113,500","6,500","-5.42","4,430,832","499,563,748,000"
67,029780,삼성카드,"30,000","29,550",450,"-1.5","4,396,827","129,749,505,600"
68,011170,롯데케미칼,"215,500","188,000","27,500","-12.76","4,102,959","781,183,420,112"
69,056190,에스에프에이,"34,950","35,400",450,"1.29","3,780,512","135,112,573,050"
70,002790,아모레G,"58,100","57,800",300,"-0.52","2,999,109","167,954,091,400"
71,271560,오리온,"124,000","132,000","8,000","6.45","2,980,368","390,271,773,624"
72,192820,코스맥스,"89,000","88,400",600,"-0.67","2,735,437","249,827,022,500"
73,086280,현대글로비스,"101,500","113,000","11,500","11.33","2,657,274","279,141,428,000"
74,069960,현대백화점,"72,700","64,000","8,700","-11.97","2,650,450","177,638,763,000"
75,008930,한미사이언스,"28,600","27,450","1,150","-4.02","2,607,539","73,566,406,250"
76,036570,엔씨소프트,"643,000","790,000","147,000","22.86","2,595,751","1,907,680,096,000"
77,051600,한전KPS,"32,450","30,850","1,600","-4.93","2,487,450","78,173,109,866"
78,009240,한샘,"72,800","84,600","11,800","16.21","2,449,379","202,139,797,200"
79,001040,CJ,"81,000","91,900","10,900","13.46","2,310,539","194,992,576,900"
80,000810,삼성화재,"190,500","182,500","8,000","-4.2","2,302,340","437,385,408,010"
81,035760,CJ ENM,"127,900","121,000","6,900","-5.39","2,152,629","255,528,178,000"
82,048260,오스템임플란트,"32,900","31,200","1,700","-5.17","2,077,733","68,777,122,100"
83,097950,CJ제일제당,"272,500","297,000","24,500","8.99","1,968,863","584,075,696,000"
84,000120,CJ대한통운,"148,000","161,000","13,000","8.78","1,943,118","292,654,794,500"
85,004170,신세계,"265,000","245,000","20,000","-7.55","1,794,033","445,301,679,550"
86,002380,KCC,"165,000","143,500","21,500","-13.03","1,731,800","258,796,807,000"
87,098460,고영,"81,100","93,300","12,200","15.04","1,580,616","140,256,445,689"
88,128940,한미약품,"259,000","237,000","22,000","-8.49","1,499,112","381,858,217,433"
89,006650,대한유화,"140,500","130,000","10,500","-7.47","1,448,041","187,239,257,500"
90,078340,컴투스,"107,000","106,000","1,000","-0.93","1,238,428","137,259,544,600"
91,039490,키움증권,"75,000","78,900","3,900","5.2","1,217,798","97,276,373,500"
92,012750,에스원,"86,500","93,200","6,700","7.75","1,095,516","96,536,986,500"
93,004800,효성,"69,800","67,300","2,500","-3.58","1,070,231","72,779,266,500"
94,282330,BGF리테일,"158,000","167,000","9,000","5.7","1,034,872","161,081,054,210"
95,004370,농심,"295,500","315,500","20,000","6.77","873,658","276,864,733,000"
96,036490,SK머티리얼즈,"157,500","162,100","4,600","2.92","870,072","145,086,296,700"
97,267250,현대중공업지주,"243,000","270,500","27,500","11.32","826,944","206,411,564,500"
98,010130,고려아연,"386,000","378,000","8,000","-2.07","817,781","306,328,734,000"
99,051900,LG생활건강,"1,386,000","1,370,000","16,000","-1.15","684,911","964,471,896,600"
100,145020,휴젤,"384,100","369,300","14,800","-3.85","377,709","147,409,008,300"
