,산업분류,ID,지역,행정구역,인구 수,확진자 수,총사업체수,총종사자수,상용 종사자수,임시및일용 종사자수,인구 대비 확진자 수,인구 대비 산업체 수,인구 대비 산업체 종사자 수,종사자수 대비 산업체 수,종사자수 대비 상용 종사자 수,종사자수 대비 임시및일용 종사자 수,종사자수 대비 비정규 종사자 비
0,운수 및 창고업(49~52),서울 종로,서울,종로구,157967,27,1388,7260,5074,766,0.017092177480106604,0.8786645311995543,4.595896611317554,19.11845730027548,69.88980716253444,10.550964187327825,15.096570752857708
1,운수 및 창고업(49~52),서울 중구,서울,중구,129797,18,1547,14316,12187,788,0.013867808963227195,1.1918611370062482,11.029530728753361,10.80609108689578,85.12852752165409,5.504330818664432,6.465906293591532
2,운수 및 창고업(49~52),서울 용산,서울,용산구,226938,53,1251,3918,2407,213,0.023354396354951575,0.551251883774423,1.7264627343150991,31.929555895865235,61.43440530883104,5.436447166921899,8.849189862899873
3,운수 및 창고업(49~52),서울 성동,서울,성동구,306796,57,2629,8653,5140,531,0.01857912097941303,0.8569212114890676,2.820440944471245,30.382526291459612,59.40136368889403,6.136600023113371,10.330739299610896
4,운수 및 창고업(49~52),서울 광진,서울,광진구,362304,22,2519,5828,2797,249,0.006072248719307543,0.6952724783607136,1.608593888005653,43.222374742621824,47.99245024021963,4.272477693891559,8.902395423668215
5,운수 및 창고업(49~52),서울 동대문,서울,동대문구,358141,43,3617,6562,2335,265,0.012006444389221006,1.0099374268793575,1.832239257722517,55.1203901249619,35.58366351722036,4.0384029259372145,11.349036402569594
6,운수 및 창고업(49~52),서울 중랑,서울,중랑구,391668,44,6550,13092,4869,705,0.011234004309772562,1.6723347324775064,3.3426269187168725,50.03055300947143,37.190650779101745,5.384967919340055,14.479359211337032
7,운수 및 창고업(49~52),서울 성북,서울,성북구,438734,40,3080,6058,2593,225,0.009117141593767522,0.7020199027200992,1.3807910943760913,50.841862000660285,42.80290524925718,3.7140970617365467,8.677207867335133
8,운수 및 창고업(49~52),서울 강북,서울,강북구,309138,25,3218,6625,2842,289,0.008087003215392479,1.0409590538853197,2.143055852079007,48.573584905660375,42.89811320754717,4.362264150943396,10.168895144264603
9,운수 및 창고업(49~52),서울 도봉,서울,도봉구,328243,64,5099,10030,4284,88,0.019497750142424972,1.5534223121285144,3.0556630301331635,50.83748753738784,42.71186440677966,0.8773678963110667,2.0541549953314657
10,운수 및 창고업(49~52),서울 노원,서울,노원구,534096,54,6598,12573,5660,235,0.010110541925047182,1.2353584374344686,2.354071178215152,52.4775312176887,45.01710013521037,1.8690845462499006,4.151943462897527
11,운수 및 창고업(49~52),서울 은평,서울,은평구,462552,61,5214,8898,3491,156,0.01318770646327332,1.1272246147460177,1.9236756083640325,58.5974376264329,39.233535625983365,1.7532029669588671,4.468633629332569
12,운수 및 창고업(49~52),서울 서대문,서울,서대문구,318874,41,2903,5835,2164,270,0.012857743183828095,0.9103909381134869,1.8298763775033398,49.75149957155098,37.086546700942584,4.627249357326478,12.476894639556377
